F.Y.,Ann. Date,Quarter,#,Revenue,PBT,NP,NP to SH,Div,Net Worth,Div Payout %,NP Margin,ROE,NOSH,RPS,Adj. RPS,EPS,Adj. EPS,DPS,Adj. DPS,NAPS,Adj. NAPS,QoQ,YoY,EOQ Date,EOQ Price,EOQ P/RPS,EOQ P/EPS,EOQ P/NAPS,EOQ EY,EOQ DY,ANN Date,ANN Price,ANN P/RPS,ANN P/EPS,ANN P/NAPS,ANN EY,ANN DY
"31-Mar-2019","28-May-2019","31-Mar-2019","4","361,476","1,962","1,958","1,958","0","22,018","- %","0.54%","8.89%","289,710","124.77","124.77","0.68","0.68","0.00","0.00","0.0760","0.08"," 160.12%"," 126.80%","29-Mar-2019","0.115","0.09","17.02","1.51","5.88%","0.00%","28-May-2019","0.09","0.07","13.32","1.18","7.51%","0.00%"
"31-Mar-2019","20-Feb-2019","31-Dec-2018","3","282,115","-3,257","-3,257","-3,257","0","22,278","- %","-1.15%","-14.62%","289,710","97.38","97.38","-1.12","-1.12","0.00","0.00","0.0769","0.08"," 25.72%"," -214.38%","31-Dec-2018","0.095","0.10","-8.45","1.24","-11.83%","0.00%","20-Feb-2019","0.105","0.11","-9.34","1.37","-10.71%","0.00%"
"31-Mar-2019","14-Nov-2018","30-Sep-2018","2","191,003","-4,385","-4,385","-4,385","0","21,699","- %","-2.30%","-20.21%","289,710","65.93","65.93","-1.51","-1.51","0.00","0.00","0.0749","0.07"," 27.66%"," -412.87%","28-Sep-2018","0.12","0.18","-7.93","1.60","-12.61%","0.00%","14-Nov-2018","0.12","0.18","-7.93","1.60","-12.61%","0.00%"
"31-Mar-2019","03-Aug-2018","30-Jun-2018","1","153,655","-6,062","-6,062","-6,062","0","20,888","- %","-3.95%","-29.02%","289,710","53.04","53.04","-2.09","-2.09","0.00","0.00","0.0721","0.07"," 17.02%"," -86,500.00%","29-Jun-2018","0.12","0.23","-5.73","1.66","-17.44%","0.00%","03-Aug-2018","0.13","0.25","-6.21","1.80","-16.10%","0.00%"
"31-Mar-2018","28-May-2018","31-Mar-2018","4","154,672","-7,305","-7,305","-7,305","0","20,451","- %","-4.72%","-35.72%","272,681","56.72","53.39","-2.68","-2.52","0.00","0.00","0.0750","0.07"," -605.12%"," -962.46%","30-Mar-2018","0.14","0.25","-5.23","1.87","-19.14%","0.00%","28-May-2018","0.13","0.23","-4.85","1.73","-20.61%","0.00%"
"31-Mar-2018","28-Feb-2018","31-Dec-2017","3","203,495","-1,036","-1,036","-1,036","0","22,577","- %","-0.51%","-4.59%","272,681","74.63","70.24","-0.38","-0.36","0.00","0.00","0.0828","0.08"," -21.17%"," -3,553.33%","29-Dec-2017","0.165","0.22","-43.43","1.99","-2.30%","0.00%","28-Feb-2018","0.15","0.20","-39.48","1.81","-2.53%","0.00%"
"31-Mar-2018","30-Nov-2017","30-Sep-2017","2","224,976","-855","-855","-855","0","19,351","- %","-0.38%","-4.42%","265,454","84.75","77.66","-0.32","-0.30","0.00","0.00","0.0729","0.07"," -12,114.29%"," -412.04%","29-Sep-2017","0.155","0.18","-48.12","2.13","-2.08%","0.00%","30-Nov-2017","0.16","0.19","-49.68","2.19","-2.01%","0.00%"
"31-Mar-2018","29-Aug-2017","30-Jun-2017","1","219,307","-7","-7","-7","0","20,095","- %","0.00%","-0.03%","263,373","83.27","75.70","0.00","0.00","0.00","0.00","0.0763","0.07"," -100.83%"," 98.39%","30-Jun-2017","0.145","0.17","-5,455.58","1.90","-0.02%","0.00%","29-Aug-2017","0.16","0.19","-6,019.95","2.10","-0.02%","0.00%"
"31-Mar-2017","30-May-2017","31-Mar-2017","4","200,960","847","847","847","0","20,516","- %","0.42%","4.13%","263,373","76.30","69.37","0.32","0.29","0.00","0.00","0.0779","0.07"," 2,723.33%"," 204.68%","31-Mar-2017","0.11","0.14","34.20","1.41","2.92%","0.00%","30-May-2017","0.165","0.22","51.31","2.12","1.95%","0.00%"
"31-Mar-2017","28-Feb-2017","31-Dec-2016","3","214,386","30","30","30","0","19,700","- %","0.01%","0.15%","263,373","81.40","74.00","0.01","0.01","0.00","0.00","0.0748","0.07"," -89.05%"," 154.55%","30-Dec-2016","0.08","0.10","702.33","1.07","0.14%","0.00%","28-Feb-2017","0.095","0.12","834.01","1.27","0.12%","0.00%"
