Column1,AQR,T4Q,30/04/18,30/04/17,30/04/16,30/04/15,&nbsp;-&nbsp;,CAGR
"Revenue","37,781","35,815","29,716","33,893","37,149","39,039","-","-8.69%"
"YoY %","5.49%","20.52%","-12.32%","-8.76%","-4.84%","-","-",""
"Horiz. %","96.78%","91.74%","76.12%","86.82%","95.16%","100.00%","-",""
"PBT","410","-1,333","-1,202","6,059","4,890","7,298","-","-"
"YoY %","130.81%","-10.90%","-119.84%","23.91%","-33.00%","-","-",""
"Horiz. %","5.63%","-18.27%","-16.47%","83.02%","67.00%","100.00%","-",""
"Tax","8","105","-127","-1,575","-1,618","-1,336","-","-54.33%"
"YoY %","-92.38%","182.68%","91.94%","2.66%","-21.11%","-","-",""
"Horiz. %","-0.60%","-7.86%","9.51%","117.89%","121.11%","100.00%","-",""
"NP","418","-1,228","-1,329","4,484","3,272","5,962","-","-"
"YoY %","134.09%","7.60%","-129.64%","37.04%","-45.12%","-","-",""
"Horiz. %","7.02%","-20.60%","-22.29%","75.21%","54.88%","100.00%","-",""
"NP to SH","337","-1,257","-1,098","4,484","3,272","5,962","-","-"
"YoY %","126.84%","-14.48%","-124.49%","37.04%","-45.12%","-","-",""
"Horiz. %","5.66%","-21.08%","-18.42%","75.21%","54.88%","100.00%","-",""
"Tax Rate","-1.95    %","-     %","-     %","25.99    %","33.09    %","18.31    %","-   %","-"
"YoY %","0.00%","0.00%","0.00%","-21.46%","80.72%","-","-",""
"Horiz. %","-10.65%","0.00%","0.00%","141.94%","180.72%","100.00%","-",""
"Total Cost","37,362","37,043","31,045","29,409","33,877","33,077","-","-2.09%"
"YoY %","0.86%","19.32%","5.56%","-13.19%","2.42%","-","-",""
"Horiz. %","112.96%","111.99%","93.86%","88.91%","102.42%","100.00%","-",""
"Net Worth","60,032","60,032","60,032","60,032","34,853","6,583,436","-","-79.08%"
"YoY %","0.00%","0.00%","0.00%","72.24%","-99.47%","-","-",""
"Horiz. %","0.91%","0.91%","0.91%","0.91%","0.53%","100.00%","-",""
"Div","-","0","-","1,500","-","-","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-","-",""
"Horiz. %","0.00%","0.00%","0.00%","100.00%","-","-","-",""
"Div Payout %","-     %","-     %","-     %","33.47    %","-     %","-     %","-   %","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-","-",""
"Horiz. %","0.00%","0.00%","0.00%","100.00%","-","-","-",""
"Net Worth","60,032","60,032","60,032","60,032","34,853","6,583,436","-","-79.08%"
"YoY %","0.00%","0.00%","0.00%","72.24%","-99.47%","-","-",""
"Horiz. %","0.91%","0.91%","0.91%","0.91%","0.53%","100.00%","-",""
"NOSH","428,800","428,800","428,800","428,800","316,846","315,449","-","10.76%"
"YoY %","0.00%","0.00%","0.00%","35.33%","0.44%","-","-",""
"Horiz. %","135.93%","135.93%","135.93%","135.93%","100.44%","100.00%","-",""
"NP Margin","1.11    %","-3.43    %","-4.47    %","13.23    %","8.81    %","15.27    %","-   %","-"
"YoY %","132.36%","23.27%","-133.79%","50.17%","-42.31%","-","-",""
"Horiz. %","7.27%","-22.46%","-29.27%","86.64%","57.69%","100.00%","-",""
"ROE","0.56    %","-2.09    %","-1.83    %","7.47    %","9.39    %","0.09    %","-   %","-"
"YoY %","126.79%","-14.21%","-124.50%","-20.45%","10,333.33%","-","-",""
"Horiz. %","622.22%","-2,322.22%","-2,033.33%","8,300.00%","10,433.33%","100.00%","-",""
"RPS","8.81","8.35","6.93","7.90","11.72","12.38","-","-17.57%"
"YoY %","5.51%","20.49%","-12.28%","-32.59%","-5.33%","-","-",""
"Horiz. %","71.16%","67.45%","55.98%","63.81%","94.67%","100.00%","-",""
"EPS","0.08","-0.29","-0.26","1.05","1.04","1.89","-","-"
"YoY %","127.59%","-11.54%","-124.76%","0.96%","-44.97%","-","-",""
"Horiz. %","4.23%","-15.34%","-13.76%","55.56%","55.03%","100.00%","-",""
"DPS","0.00","0.00","0.00","0.35","0.00","0.00","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-","-",""
"Horiz. %","0.00%","0.00%","0.00%","100.00%","-","-","-",""
"NAPS","0.1400","0.1400","0.1400","0.1400","0.1100","20.8700","-","-81.11%"
"YoY %","0.00%","0.00%","0.00%","27.27%","-99.47%","-","-",""
"Horiz. %","0.67%","0.67%","0.67%","0.67%","0.53%","100.00%","-",""
"RPS","8.81","8.35","6.93","7.90","8.66","9.10","-","-8.67%"
"YoY %","5.51%","20.49%","-12.28%","-8.78%","-4.84%","-","-",""
"Horiz. %","96.81%","91.76%","76.15%","86.81%","95.16%","100.00%","-",""
"EPS","0.08","-0.29","-0.26","1.05","0.76","1.39","-","-"
"YoY %","127.59%","-11.54%","-124.76%","38.16%","-45.32%","-","-",""
"Horiz. %","5.76%","-20.86%","-18.71%","75.54%","54.68%","100.00%","-",""
"DPS","0.00","0.00","0.00","0.35","0.00","0.00","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-","-",""
"Horiz. %","0.00%","0.00%","0.00%","100.00%","-","-","-",""
"NAPS","0.1400","0.1400","0.1400","0.1400","0.0813","15.3532","-","-79.08%"
"YoY %","0.00%","0.00%","0.00%","72.20%","-99.47%","-","-",""
"Horiz. %","0.91%","0.91%","0.91%","0.91%","0.53%","100.00%","-",""
"Date","AQR","T4Q","30/04/18","28/04/17","-","-","-","-"
"Price","0.1150","0.1150","0.1500","0.2700","0.0000","0.0000","-","-"
"P/RPS","1.31","1.38","2.16","3.42","0.00","0.00","-","-"
"YoY %","-5.07%","-36.11%","-36.84%","0.00%","0.00%","-","-",""
"Horiz. %","38.30%","40.35%","63.16%","100.00%","-","-","-",""
"P/EPS","146.18","-39.23","-58.58","25.82","0.00","0.00","-","-"
"YoY %","472.62%","33.03%","-326.88%","0.00%","0.00%","-","-",""
"Horiz. %","566.15%","-151.94%","-226.88%","100.00%","-","-","-",""
"EY","0.68","-2.55","-1.71","3.87","0.00","0.00","-","-"
"YoY %","126.67%","-49.12%","-144.19%","0.00%","0.00%","-","-",""
"Horiz. %","17.57%","-65.89%","-44.19%","100.00%","-","-","-",""
"DY","0.00","0.00","0.00","1.30","0.00","0.00","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-","-",""
"Horiz. %","0.00%","0.00%","0.00%","100.00%","-","-","-",""
"P/NAPS","0.82","0.82","1.07","1.93","0.00","0.00","-","-"
"YoY %","0.00%","-23.36%","-44.56%","0.00%","0.00%","-","-",""
"Horiz. %","42.49%","42.49%","55.44%","100.00%","-","-","-",""
"Date","AQR","T4Q","26/06/18","28/06/17","24/06/16","-","-","-"
"Price","0.1150","0.1150","0.1450","0.2700","0.2950","0.0000","-","-"
"P/RPS","1.31","1.38","2.09","3.42","2.52","0.00","-","-"
"YoY %","-5.07%","-33.97%","-38.89%","35.71%","0.00%","-","-",""
"Horiz. %","51.98%","54.76%","82.94%","135.71%","100.00%","-","-",""
"P/EPS","146.18","-39.23","-56.63","25.82","28.57","0.00","-","-"
"YoY %","472.62%","30.73%","-319.33%","-9.63%","0.00%","-","-",""
"Horiz. %","511.66%","-137.31%","-198.21%","90.37%","100.00%","-","-",""
"EY","0.68","-2.55","-1.77","3.87","3.50","0.00","-","-"
"YoY %","126.67%","-44.07%","-145.74%","10.57%","0.00%","-","-",""
"Horiz. %","19.43%","-72.86%","-50.57%","110.57%","100.00%","-","-",""
"DY","0.00","0.00","0.00","1.30","0.00","0.00","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","-","-",""
"Horiz. %","0.00%","0.00%","0.00%","100.00%","-","-","-",""
"P/NAPS","0.82","0.82","1.04","1.93","2.68","0.00","-","-"
"YoY %","0.00%","-21.15%","-46.11%","-27.99%","0.00%","-","-",""
"Horiz. %","30.60%","30.60%","38.81%","72.01%","100.00%","-","-",""

