Date,Open Price,Target Price,Upside/Downside,Price Call,Source
"01/07/2019","0.91","1.15","+0.24 (26.37%)","BUY","KENANGA"
"21/05/2019","0.935","1.31","+0.375 (40.11%)","BUY","Rakuten"
"16/05/2019","0.945","1.25","+0.305 (32.28%)","BUY","MIDF"
"16/05/2019","0.95","1.15","+0.20 (21.05%)","BUY","KENANGA"
"16/05/2019","0.945","1.15","+0.205 (21.69%)","BUY","AmInvest"
"02/05/2019","0.995","1.15","+0.155 (15.58%)","BUY","KENANGA"
"01/03/2019","1.02","1.23","+0.21 (20.59%)","BUY","MIDF"
"01/03/2019","1.02","1.15","+0.13 (12.75%)","BUY","KENANGA"
"01/03/2019","1.02","1.24","+0.22 (21.57%)","BUY","AmInvest"

