F.Y.,Ann. Date,Quarter,#,Revenue,PBT,NP,NP to SH,Div,Net Worth,Div Payout %,NP Margin,ROE,NOSH,RPS,Adj. RPS,EPS,Adj. EPS,DPS,Adj. DPS,NAPS,Adj. NAPS,QoQ,YoY,EOQ Date,EOQ Price,EOQ P/RPS,EOQ P/EPS,EOQ P/NAPS,EOQ EY,EOQ DY,ANN Date,ANN Price,ANN P/RPS,ANN P/EPS,ANN P/NAPS,ANN EY,ANN DY
"T4Q","06-Aug-2018","30-Jun-2018","2","30,258","17,670","17,355","17,355","11,330","281,599","65.28%","57.36%","6.16%","220,000","13.75","13.75","7.89","7.89","5.15","5.15","1.2800","1.28",""," -0.38%","29-Jun-2018","0.745","5.42","9.44","0.58","10.59%","6.91%","06-Aug-2018","0.80","5.82","10.14","0.63","9.86%","6.44%"
"31-Dec-2017","22-Jan-2018","31-Dec-2017","4","29,920","17,733","17,418","17,418","11,439","281,182","65.68%","58.22%","6.19%","220,000","13.60","13.60","7.92","7.92","5.20","5.20","1.2781","1.28",""," 1,998.55%","29-Dec-2017","0.835","6.14","10.55","0.65","9.48%","6.23%","22-Jan-2018","0.80","5.88","10.10","0.63","9.90%","6.50%"
"31-Dec-2016","19-Jan-2017","31-Dec-2016","4","21,147","543","830","830","4,500","153,880","542.17%","3.92%","0.54%","100,000","21.15","9.61","0.83","0.38","4.50","2.05","1.5388","0.70",""," -93.25%","30-Dec-2016","0.975","4.61","117.47","0.63","0.85%","4.62%","19-Jan-2017","0.995","4.71","119.88","0.65","0.83%","4.52%"
"31-Dec-2015","02-Feb-2016","31-Dec-2015","4","13,681","12,768","12,305","12,305","7,000","159,549","56.89%","89.94%","7.71%","100,000","13.68","6.22","12.31","5.59","7.00","3.18","1.5955","0.73",""," 216.57%","31-Dec-2015","1.00","7.31","8.13","0.63","12.31%","7.00%","02-Feb-2016","1.03","7.53","8.37","0.65","11.95%","6.80%"
"31-Dec-2014","28-Jan-2015","31-Dec-2014","4","14,469","5,838","3,887","3,887","7,400","154,439","190.38%","26.86%","2.52%","100,000","14.47","6.58","3.89","1.77","7.40","3.36","1.5444","0.70",""," -34.79%","31-Dec-2014","1.13","7.81","29.07","0.73","3.44%","6.55%","28-Jan-2015","1.15","7.95","29.59","0.74","3.38%","6.43%"
"31-Dec-2013","29-Jan-2014","31-Dec-2013","4","13,822","5,961","5,961","5,961","7,400","157,949","124.14%","43.13%","3.77%","100,000","13.82","6.28","5.96","2.71","7.40","3.36","1.5795","0.72",""," -42.26%","31-Dec-2013","1.13","8.18","18.96","0.72","5.28%","6.55%","29-Jan-2014","1.13","8.18","18.96","0.72","5.28%","6.55%"
"31-Dec-2012","29-Jan-2013","31-Dec-2012","4","17,939","10,324","10,324","10,324","7,400","156,389","71.68%","57.55%","6.60%","100,000","17.94","8.15","10.32","4.69","7.40","3.36","1.5639","0.71",""," 2.20%","31-Dec-2012","1.10","6.13","10.65","0.70","9.39%","6.73%","29-Jan-2013","1.11","6.19","10.75","0.71","9.30%","6.67%"
"31-Dec-2011","26-Jan-2012","31-Dec-2011","4","17,547","10,102","10,102","10,102","3,700","156,500","36.63%","57.57%","6.45%","100,019","17.54","7.98","10.10","4.59","3.70","1.68","1.5647","0.71",""," -1.20%","30-Dec-2011","1.05","5.99","10.40","0.67","9.62%","3.52%","26-Jan-2012","1.07","6.10","10.59","0.68","9.44%","3.46%"
"31-Dec-2010","28-Jan-2011","31-Dec-2010","4","17,281","10,225","10,225","10,225","3,598","153,594","35.19%","59.17%","6.66%","99,951","17.29","7.86","10.23","4.65","3.60","1.64","1.5367","0.70",""," 37.01%","30-Dec-2010","0.99","5.73","9.68","0.64","10.33%","3.64%","28-Jan-2011","1.01","5.84","9.87","0.66","10.13%","3.56%"
"31-Dec-2009","27-Jan-2010","31-Dec-2009","4","14,659","7,463","7,463","7,463","7,002","150,850","93.83%","50.91%","4.95%","100,040","14.65","6.66","7.46","3.39","7.00","3.18","1.5079","0.69",""," -14.72%","31-Dec-2009","0.90","6.14","12.06","0.60","8.29%","7.78%","27-Jan-2010","0.92","6.28","12.33","0.61","8.11%","7.61%"
"31-Dec-2008","04-Feb-2009","31-Dec-2008","4","15,612","8,751","8,751","8,751","6,500","150,097","74.29%","56.05%","5.83%","100,011","15.61","7.10","8.75","3.98","6.50","2.95","1.5008","0.68",""," -53.11%","31-Dec-2008","0.73","4.68","8.34","0.49","11.99%","8.90%","04-Feb-2009","0.75","4.80","8.57","0.50","11.67%","8.67%"

