F.Y.,Ann. Date,Quarter,#,Revenue,PBT,NP,NP to SH,Div,Net Worth,Div Payout %,NP Margin,ROE,NOSH,RPS,Adj. RPS,EPS,Adj. EPS,DPS,Adj. DPS,NAPS,Adj. NAPS,QoQ,YoY,EOQ Date,EOQ Price,EOQ P/RPS,EOQ P/EPS,EOQ P/NAPS,EOQ EY,EOQ DY,ANN Date,ANN Price,ANN P/RPS,ANN P/EPS,ANN P/NAPS,ANN EY,ANN DY
"31-Dec-2018","02-Aug-2018","30-Jun-2018","2","343,198","36,222","31,075","31,142","18,285","1,444,142","58.72%","9.05%","2.16%","731,433","46.92","46.77","4.26","4.24","2.50","2.49","1.9744","1.97"," 414.40%"," -26.01%","29-Jun-2018","2.31","4.92","54.26","1.17","1.84%","1.08%","02-Aug-2018","2.61","5.56","61.30","1.32","1.63%","0.96%"
"31-Dec-2018","24-Apr-2018","31-Mar-2018","1","321,551","7,712","6,325","6,054","-","1,453,572","- %","1.97%","0.42%","733,831","43.82","43.82","0.82","0.82","0.00","0.00","1.9808","1.98"," -81.09%"," -86.52%","30-Mar-2018","2.44","5.57","295.76","1.23","0.34%","0.00%","24-Apr-2018","2.22","5.07","269.10","1.12","0.37%","0.00%"
"31-Dec-2017","22-Feb-2018","31-Dec-2017","4","357,413","36,610","32,565","32,021","29,353","1,455,480","91.67%","9.11%","2.20%","733,831","48.71","48.71","4.36","4.36","4.00","4.00","1.9834","1.98"," -20.83%"," -37.62%","29-Dec-2017","3.65","7.49","83.65","1.84","1.20%","1.10%","22-Feb-2018","2.95","6.06","67.61","1.49","1.48%","1.36%"
"31-Dec-2017","01-Nov-2017","30-Sep-2017","3","382,323","45,408","40,949","40,447","25,684","1,471,404","63.50%","10.71%","2.75%","733,831","52.10","52.10","5.51","5.51","3.50","3.50","2.0051","2.01"," -3.90%"," 4.71%","29-Sep-2017","3.77","7.24","68.40","1.88","1.46%","0.93%","01-Nov-2017","4.02","7.72","72.93","2.00","1.37%","0.87%"
"31-Dec-2017","08-Aug-2017","30-Jun-2017","2","365,743","47,899","42,511","42,089","25,684","1,456,214","61.02%","11.62%","2.89%","733,831","49.84","49.84","5.74","5.74","3.50","3.50","1.9844","1.98"," -6.27%"," 11.86%","30-Jun-2017","3.58","7.18","62.42","1.80","1.60%","0.98%","08-Aug-2017","4.07","8.17","70.96","2.05","1.41%","0.86%"
"31-Dec-2017","25-Apr-2017","31-Mar-2017","1","360,248","50,862","45,379","44,904","-","1,454,453","- %","12.60%","3.09%","733,831","49.09","49.09","6.12","6.12","0.00","0.00","1.9820","1.98"," -12.53%"," 29.42%","31-Mar-2017","3.14","6.40","51.31","1.58","1.95%","0.00%","25-Apr-2017","3.26","6.64","53.28","1.64","1.88%","0.00%"
"31-Dec-2016","23-Feb-2017","31-Dec-2016","4","362,132","62,807","51,513","51,335","29,353","1,413,652","57.18%","14.22%","3.63%","733,831","49.35","49.35","7.00","7.00","4.00","4.00","1.9264","1.93"," 32.89%"," -15.04%","30-Dec-2016","2.36","4.78","33.74","1.23","2.96%","1.69%","23-Feb-2017","2.74","5.55","39.17","1.42","2.55%","1.46%"
"31-Dec-2016","03-Nov-2016","30-Sep-2016","3","321,950","44,115","38,809","38,629","25,684","1,357,660","66.49%","12.05%","2.85%","733,831","43.87","43.87","5.26","5.26","3.50","3.50","1.8501","1.85"," 2.66%"," -3.91%","30-Sep-2016","2.52","5.74","47.87","1.36","2.09%","1.39%","03-Nov-2016","2.45","5.58","46.54","1.32","2.15%","1.43%"
"31-Dec-2016","05-Aug-2016","30-Jun-2016","2","320,890","41,810","37,757","37,628","25,684","1,328,087","68.26%","11.77%","2.83%","733,831","43.73","43.73","5.13","5.13","3.50","3.50","1.8098","1.81"," 8.45%"," 19.90%","30-Jun-2016","2.40","5.49","46.81","1.33","2.14%","1.46%","05-Aug-2016","2.55","5.83","49.73","1.41","2.01%","1.37%"
"31-Dec-2016","26-Apr-2016","31-Mar-2016","1","317,808","38,426","35,264","34,697","-","1,316,859","- %","11.10%","2.63%","733,831","43.31","43.31","4.73","4.73","0.00","0.00","1.7945","1.79"," -42.58%"," 47.43%","31-Mar-2016","2.22","5.13","46.95","1.24","2.13%","0.00%","26-Apr-2016","2.18","5.03","46.11","1.21","2.17%","0.00%"
