Column1,AQR,T4Q,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,31/12/11,CAGR
"Revenue","629,370","545,347","469,436","330,058","272,511","534,163","406,308","319,527","0","-"
"YoY %","15.41%","16.17%","42.23%","21.12%","-48.98%","31.47%","27.16%","0.00%","-",""
"Horiz. %","196.97%","170.67%","146.92%","103.30%","85.29%","167.17%","127.16%","100.00%","-",""
"PBT","98,034","95,592","82,614","43,649","-7,874","106,256","72,506","31,892","0","-"
"YoY %","2.55%","15.71%","89.27%","654.34%","-107.41%","46.55%","127.35%","0.00%","-",""
"Horiz. %","307.39%","299.74%","259.04%","136.87%","-24.69%","333.17%","227.35%","100.00%","-",""
"Tax","-26,466","-35,364","-33,044","-15,366","-8,307","-32,955","-21,149","-9,582","0","-"
"YoY %","25.16%","-7.02%","-115.05%","-84.98%","74.79%","-55.82%","-120.72%","0.00%","-",""
"Horiz. %","276.21%","369.07%","344.85%","160.36%","86.69%","343.93%","220.72%","100.00%","-",""
"NP","71,568","60,228","49,570","28,283","-16,181","73,301","51,357","22,310","0","-"
"YoY %","18.83%","21.50%","75.26%","274.79%","-122.07%","42.73%","130.20%","0.00%","-",""
"Horiz. %","320.79%","269.96%","222.19%","126.77%","-72.53%","328.56%","230.20%","100.00%","-",""
"NP to SH","71,140","60,238","48,038","22,632","-9,666","52,949","42,840","21,613","0","-"
"YoY %","18.10%","25.40%","112.26%","334.14%","-118.26%","23.60%","98.21%","0.00%","-",""
"Horiz. %","329.15%","278.71%","222.26%","104.71%","-44.72%","244.99%","198.21%","100.00%","-",""
"Tax Rate","27.00    %","36.99    %","40.00    %","35.20    %","-     %","31.01    %","29.17    %","30.05    %","-     %","-"
"YoY %","-27.01%","-7.52%","13.64%","0.00%","0.00%","6.31%","-2.93%","0.00%","-",""
"Horiz. %","89.85%","123.09%","133.11%","117.14%","0.00%","103.19%","97.07%","100.00%","-",""
"Total Cost","557,802","485,119","419,866","301,775","288,692","460,862","354,951","297,217","0","-"
"YoY %","14.98%","15.54%","39.13%","4.53%","-37.36%","29.84%","19.42%","0.00%","-",""
"Horiz. %","187.68%","163.22%","141.27%","101.53%","97.13%","155.06%","119.42%","100.00%","-",""
"Net Worth","463,493","463,493","421,376","343,717","319,154","316,024","252,384","214,529","-","-"
"YoY %","0.00%","10.00%","22.59%","7.70%","0.99%","25.22%","17.65%","0.00%","-",""
"Horiz. %","216.05%","216.05%","196.42%","160.22%","148.77%","147.31%","117.65%","100.00%","-",""
"Div","-","22,078","8,182","-","-","-","6,789","4,995","-","-"
"YoY %","0.00%","169.84%","0.00%","0.00%","0.00%","0.00%","35.93%","0.00%","-",""
"Horiz. %","0.00%","442.00%","163.80%","0.00%","0.00%","0.00%","135.93%","100.00%","-",""
"Div Payout %","-     %","36.65    %","17.03    %","-     %","-     %","-     %","15.85    %","23.11    %","-     %","-"
"YoY %","0.00%","115.21%","0.00%","0.00%","0.00%","0.00%","-31.41%","0.00%","-",""
"Horiz. %","0.00%","158.59%","73.69%","0.00%","0.00%","0.00%","68.59%","100.00%","-",""
"Net Worth","463,493","463,493","421,376","343,717","319,154","316,024","252,384","214,529","-","-"
"YoY %","0.00%","10.00%","22.59%","7.70%","0.99%","25.22%","17.65%","0.00%","-",""
"Horiz. %","216.05%","216.05%","196.42%","160.22%","148.77%","147.31%","117.65%","100.00%","-",""
"NOSH","458,904","458,904","409,103","390,588","389,212","367,470","355,470","320,192","-","-"
"YoY %","0.00%","12.17%","4.74%","0.35%","5.92%","3.38%","11.02%","0.00%","-",""
"Horiz. %","143.32%","143.32%","127.77%","121.99%","121.56%","114.77%","111.02%","100.00%","-",""
"NP Margin","11.37    %","11.04    %","10.56    %","8.57    %","-5.94    %","13.72    %","12.64    %","6.98    %","-     %","-"
"YoY %","2.99%","4.55%","23.22%","244.28%","-143.29%","8.54%","81.09%","0.00%","-",""
"Horiz. %","162.89%","158.17%","151.29%","122.78%","-85.10%","196.56%","181.09%","100.00%","-",""
"ROE","15.35    %","13.00    %","11.40    %","6.58    %","-3.03    %","16.75    %","16.97    %","10.07    %","-     %","-"
"YoY %","18.08%","14.04%","73.25%","317.16%","-118.09%","-1.30%","68.52%","0.00%","-",""
"Horiz. %","152.43%","129.10%","113.21%","65.34%","-30.09%","166.34%","168.52%","100.00%","-",""
"RPS","137.15","118.84","114.75","84.50","70.02","145.36","114.30","99.79","-","-"
"YoY %","15.41%","3.56%","35.80%","20.68%","-51.83%","27.17%","14.54%","0.00%","-",""
"Horiz. %","137.44%","119.09%","114.99%","84.68%","70.17%","145.67%","114.54%","100.00%","-",""
"EPS","15.50","13.13","11.74","5.80","-2.49","14.41","12.05","6.75","0.00","-"
"YoY %","18.05%","11.84%","102.41%","332.93%","-117.28%","19.59%","78.52%","0.00%","-",""
"Horiz. %","229.63%","194.52%","173.93%","85.93%","-36.89%","213.48%","178.52%","100.00%","-",""
"DPS","0.00","4.81","2.00","0.00","0.00","0.00","1.91","1.56","0.00","-"
"YoY %","0.00%","140.50%","0.00%","0.00%","0.00%","0.00%","22.44%","0.00%","-",""
"Horiz. %","0.00%","308.33%","128.21%","0.00%","0.00%","0.00%","122.44%","100.00%","-",""
"NAPS","1.0100","1.0100","1.0300","0.8800","0.8200","0.8600","0.7100","0.6700","0.4200","16.11%"
"YoY %","0.00%","-1.94%","17.05%","7.32%","-4.65%","21.13%","5.97%","59.52%","-",""
"Horiz. %","240.48%","240.48%","245.24%","209.52%","195.24%","204.76%","169.05%","159.52%","100.00%",""
"RPS","127.25","110.26","94.91","66.73","55.10","108.00","82.15","64.60","-","-"
"YoY %","15.41%","16.17%","42.23%","21.11%","-48.98%","31.47%","27.17%","0.00%","-",""
"Horiz. %","196.98%","170.68%","146.92%","103.30%","85.29%","167.18%","127.17%","100.00%","-",""
"EPS","14.38","12.18","9.71","4.58","-1.95","10.71","8.66","4.37","0.00","-"
"YoY %","18.06%","25.44%","112.01%","334.87%","-118.21%","23.67%","98.17%","0.00%","-",""
"Horiz. %","329.06%","278.72%","222.20%","104.81%","-44.62%","245.08%","198.17%","100.00%","-",""
"DPS","0.00","4.46","1.65","0.00","0.00","0.00","1.37","1.01","0.00","-"
"YoY %","0.00%","170.30%","0.00%","0.00%","0.00%","0.00%","35.64%","0.00%","-",""
"Horiz. %","0.00%","441.58%","163.37%","0.00%","0.00%","0.00%","135.64%","100.00%","-",""
"NAPS","0.9371","0.9371","0.8520","0.6949","0.6453","0.6390","0.5103","0.4337","0.4200","12.50%"
"YoY %","0.00%","9.99%","22.61%","7.69%","0.99%","25.22%","17.66%","3.26%","-",""
"Horiz. %","223.12%","223.12%","202.86%","165.45%","153.64%","152.14%","121.50%","103.26%","100.00%",""
"Date","AQR","T4Q","29/12/17","30/12/16","31/12/15","31/12/14","31/12/13","31/12/12","-","-"
"Price","1.2000","1.2000","1.9300","0.9050","0.8300","1.2500","1.0600","1.0900","0.0000","-"
"P/RPS","0.87","1.01","1.68","1.07","1.19","0.86","0.93","1.09","0.00","-"
"YoY %","-13.86%","-39.88%","57.01%","-10.08%","38.37%","-7.53%","-14.68%","0.00%","-",""
"Horiz. %","79.82%","92.66%","154.13%","98.17%","109.17%","78.90%","85.32%","100.00%","-",""
"P/EPS","7.74","9.14","16.44","15.62","-33.42","8.68","8.80","16.15","0.00","-"
"YoY %","-15.32%","-44.40%","5.25%","146.74%","-485.02%","-1.36%","-45.51%","0.00%","-",""
"Horiz. %","47.93%","56.59%","101.80%","96.72%","-206.93%","53.75%","54.49%","100.00%","-",""
"EY","12.92","10.94","6.08","6.40","-2.99","11.53","11.37","6.19","0.00","-"
"YoY %","18.10%","79.93%","-5.00%","314.05%","-125.93%","1.41%","83.68%","0.00%","-",""
