Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,31/12/11,CAGR
"Revenue","502,252","533,032","566,122","542,598","516,621","480,193","451,070","389,626","226,663","55,870","39.18%"
"YoY %","-5.77%","-5.85%","4.34%","5.03%","7.59%","6.46%","15.77%","71.90%","305.70%","-",""
"Horiz. %","898.97%","954.06%","1,013.28%","971.18%","924.68%","859.48%","807.36%","697.38%","405.70%","100.00%",""
"PBT","66,084","54,318","55,070","52,898","94,683","76,523","81,302","77,056","58,311","34,195","7.04%"
"YoY %","21.66%","-1.37%","4.11%","-44.13%","23.73%","-5.88%","5.51%","32.15%","70.52%","-",""
"Horiz. %","193.26%","158.85%","161.05%","154.70%","276.89%","223.78%","237.76%","225.34%","170.52%","100.00%",""
"Tax","-2,608","-1,315","-2,152","-2,880","-8,098","-3,640","-5,216","-3,718","-9,831","-20","95.00%"
"YoY %","-98.33%","38.89%","25.28%","64.44%","-122.47%","30.21%","-40.29%","62.18%","-49,055.00%","-",""
"Horiz. %","13,040.00%","6,575.00%","10,760.00%","14,400.00%","40,490.00%","18,200.00%","26,080.00%","18,590.00%","49,155.00%","100.00%",""
"NP","63,476","53,003","52,918","50,018","86,585","72,883","76,086","73,338","48,480","34,175","6.44%"
"YoY %","19.76%","0.16%","5.80%","-42.23%","18.80%","-4.21%","3.75%","51.27%","41.86%","-",""
"Horiz. %","185.74%","155.09%","154.84%","146.36%","253.36%","213.26%","222.64%","214.60%","141.86%","100.00%",""
"NP to SH","58,100","48,980","49,313","46,027","79,976","68,972","72,332","68,572","41,390","27,255","8.83%"
"YoY %","18.62%","-0.68%","7.14%","-42.45%","15.95%","-4.65%","5.48%","65.67%","51.86%","-",""
"Horiz. %","213.17%","179.71%","180.93%","168.88%","293.44%","253.06%","265.39%","251.59%","151.86%","100.00%",""
"Tax Rate","3.95    %","2.42    %","3.91    %","5.44    %","8.55    %","4.76    %","6.42    %","4.83    %","16.86    %","0.06    %","81.53%"
"YoY %","63.22%","-38.11%","-28.12%","-36.37%","79.62%","-25.86%","32.92%","-71.35%","28,000.00%","-",""
"Horiz. %","6,583.33%","4,033.33%","6,516.67%","9,066.67%","14,250.00%","7,933.33%","10,700.00%","8,050.00%","28,100.00%","100.00%",""
"Total Cost","438,776","480,029","513,204","492,580","430,036","407,310","374,984","316,288","178,183","21,695","57.08%"
"YoY %","-8.59%","-6.46%","4.19%","14.54%","5.58%","8.62%","18.56%","77.51%","721.31%","-",""
"Horiz. %","2,022.48%","2,212.62%","2,365.54%","2,270.48%","1,982.19%","1,877.44%","1,728.44%","1,457.88%","821.31%","100.00%",""
"Net Worth","533,749","533,749","526,231","503,679","496,161","451,056","405,950","360,844","45,862","829,254","-6.29%"
"YoY %","0.00%","1.43%","4.48%","1.52%","10.00%","11.11%","12.50%","686.80%","-94.47%","-",""
"Horiz. %","64.36%","64.36%","63.46%","60.74%","59.83%","54.39%","48.95%","43.51%","5.53%","100.00%",""
"Div","45,105","45,105","22,552","39,091","37,587","30,371","29,017","-","-","-","-"
"YoY %","0.00%","100.00%","-42.31%","4.00%","23.76%","4.66%","0.00%","0.00%","0.00%","-",""
"Horiz. %","155.44%","155.44%","77.72%","134.72%","129.53%","104.66%","100.00%","-","-","-",""
"Div Payout %","77.63    %","92.09    %","45.73    %","84.93    %","47.00    %","44.03    %","40.12    %","-     %","-     %","-     %","-"
"YoY %","-15.70%","101.38%","-46.16%","80.70%","6.75%","9.75%","0.00%","0.00%","0.00%","-",""
"Horiz. %","193.49%","229.54%","113.98%","211.69%","117.15%","109.75%","100.00%","-","-","-",""
"Net Worth","533,749","533,749","526,231","503,679","496,161","451,056","405,950","360,844","45,862","829,254","-6.29%"
"YoY %","0.00%","1.43%","4.48%","1.52%","10.00%","11.11%","12.50%","686.80%","-94.47%","-",""
"Horiz. %","64.36%","64.36%","63.46%","60.74%","59.83%","54.39%","48.95%","43.51%","5.53%","100.00%",""
"NOSH","751,759","751,759","751,759","751,759","751,759","751,759","751,759","751,759","254,791","588,124","3.57%"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","195.05%","-56.68%","-",""
"Horiz. %","127.82%","127.82%","127.82%","127.82%","127.82%","127.82%","127.82%","127.82%","43.32%","100.00%",""
"NP Margin","12.64    %","9.94    %","9.35    %","9.22    %","16.76    %","15.18    %","16.87    %","18.82    %","21.39    %","61.17    %","-23.52%"
"YoY %","27.16%","6.31%","1.41%","-44.99%","10.41%","-10.02%","-10.36%","-12.01%","-65.03%","-",""
"Horiz. %","20.66%","16.25%","15.29%","15.07%","27.40%","24.82%","27.58%","30.77%","34.97%","100.00%",""
"ROE","10.89    %","9.18    %","9.37    %","9.14    %","16.12    %","15.29    %","17.82    %","19.00    %","90.25    %","3.29    %","16.11%"
"YoY %","18.63%","-2.03%","2.52%","-43.30%","5.43%","-14.20%","-6.21%","-78.95%","2,643.16%","-",""
"Horiz. %","331.00%","279.03%","284.80%","277.81%","489.97%","464.74%","541.64%","577.51%","2,743.16%","100.00%",""
"RPS","66.81","70.90","75.31","72.18","68.72","63.88","60.00","51.83","88.96","9.50","34.38%"
"YoY %","-5.77%","-5.86%","4.34%","5.03%","7.58%","6.47%","15.76%","-41.74%","836.42%","-",""
"Horiz. %","703.26%","746.32%","792.74%","759.79%","723.37%","672.42%","631.58%","545.58%","936.42%","100.00%",""
"EPS","7.72","6.52","6.56","6.12","10.64","9.17","9.62","9.37","16.25","67.83","-28.36%"
"YoY %","18.40%","-0.61%","7.19%","-42.48%","16.03%","-4.68%","2.67%","-42.34%","-76.04%","-",""
"Horiz. %","11.38%","9.61%","9.67%","9.02%","15.69%","13.52%","14.18%","13.81%","23.96%","100.00%",""
"DPS","6.00","6.00","3.00","5.20","5.00","4.04","3.86","0.00","0.00","0.00","-"
"YoY %","0.00%","100.00%","-42.31%","4.00%","23.76%","4.66%","0.00%","0.00%","0.00%","-",""
"Horiz. %","155.44%","155.44%","77.72%","134.72%","129.53%","104.66%","100.00%","-","-","-",""
"NAPS","0.7100","0.7100","0.7000","0.6700","0.6600","0.6000","0.5400","0.4800","0.1800","1.4100","-9.51%"
"YoY %","0.00%","1.43%","4.48%","1.52%","10.00%","11.11%","12.50%","166.67%","-87.23%","-",""
"Horiz. %","50.35%","50.35%","49.65%","47.52%","46.81%","42.55%","38.30%","34.04%","12.77%","100.00%",""
"RPS","66.81","70.90","75.31","72.18","68.72","63.88","60.00","51.83","30.15","7.43","39.18%"
"YoY %","-5.77%","-5.86%","4.34%","5.03%","7.58%","6.47%","15.76%","71.91%","305.79%","-",""
"Horiz. %","899.19%","954.24%","1,013.59%","971.47%","924.90%","859.76%","807.54%","697.58%","405.79%","100.00%",""
"EPS","7.72","6.52","6.56","6.12","10.64","9.17","9.62","9.37","5.51","3.63","8.81%"
"YoY %","18.40%","-0.61%","7.19%","-42.48%","16.03%","-4.68%","2.67%","70.05%","51.79%","-",""
"Horiz. %","212.67%","179.61%","180.72%","168.60%","293.11%","252.62%","265.01%","258.13%","151.79%","100.00%",""
"DPS","6.00","6.00","3.00","5.20","5.00","4.04","3.86","0.00","0.00","0.00","-"
"YoY %","0.00%","100.00%","-42.31%","4.00%","23.76%","4.66%","0.00%","0.00%","0.00%","-",""
"Horiz. %","155.44%","155.44%","77.72%","134.72%","129.53%","104.66%","100.00%","-","-","-",""
"NAPS","0.7100","0.7100","0.7000","0.6700","0.6600","0.6000","0.5400","0.4800","0.0610","1.1031","-6.29%"
"YoY %","0.00%","1.43%","4.48%","1.52%","10.00%","11.11%","12.50%","686.89%","-94.47%","-",""
"Horiz. %","64.36%","64.36%","63.46%","60.74%","59.83%","54.39%","48.95%","43.51%","5.53%","100.00%",""
"Date","AQR","T4Q","31/12/18","29/12/17","30/12/16","31/12/15","31/12/14","31/12/13","-","-","-"
