F.Y.,Ann. Date,Quarter,#,Revenue,PBT,NP,NP to SH,Div,Net Worth,Div Payout %,NP Margin,ROE,NOSH,RPS,Adj. RPS,EPS,Adj. EPS,DPS,Adj. DPS,NAPS,Adj. NAPS,QoQ,YoY,EOQ Date,EOQ Price,EOQ P/RPS,EOQ P/EPS,EOQ P/NAPS,EOQ EY,EOQ DY,ANN Date,ANN Price,ANN P/RPS,ANN P/EPS,ANN P/NAPS,ANN EY,ANN DY
"31-Dec-2018","15-Aug-2018","30-Jun-2018","2","345,001","232,735","206,213","179,148","157,063","13,052,557","87.67%","59.77%","1.37%","1,805,333","19.11","19.11","9.92","9.92","8.70","8.70","7.2300","7.23"," -0.84%"," 0.67%","29-Jun-2018","8.00","41.86","80.62","1.11","1.24%","1.09%","15-Aug-2018","7.62","39.87","76.79","1.05","1.30%","1.14%"
"31-Dec-2018","16-May-2018","31-Mar-2018","1","345,112","233,887","208,672","180,671","157,063","13,016,450","86.93%","60.47%","1.39%","1,805,333","19.12","19.12","10.01","10.01","8.70","8.70","7.2100","7.21"," -47.71%"," 2.23%","30-Mar-2018","7.17","37.51","71.65","0.99","1.40%","1.21%","16-May-2018","7.82","40.91","78.14","1.08","1.28%","1.11%"
"31-Dec-2017","24-Jan-2018","31-Dec-2017","4","352,072","422,816","400,175","345,516","186,851","13,034,503","54.08%","113.66%","2.65%","1,805,333","19.50","19.50","19.14","19.14","10.35","10.35","7.2200","7.22"," 94.44%"," -0.46%","29-Dec-2017","8.64","44.30","45.14","1.20","2.22%","1.20%","24-Jan-2018","7.80","40.00","40.76","1.08","2.45%","1.33%"
"31-Dec-2017","13-Nov-2017","30-Sep-2017","3","340,503","233,058","205,105","177,701","155,258","12,835,917","87.37%","60.24%","1.38%","1,805,333","18.86","18.86","9.84","9.84","8.60","8.60","7.1100","7.11"," -0.14%"," -0.29%","29-Sep-2017","8.00","42.42","81.28","1.13","1.23%","1.08%","13-Nov-2017","7.77","41.20","78.94","1.09","1.27%","1.11%"
"31-Dec-2017","15-Aug-2017","30-Jun-2017","2","337,519","230,077","204,848","177,958","155,258","12,817,864","87.24%","60.69%","1.39%","1,805,333","18.70","18.70","9.86","9.86","8.60","8.60","7.1000","7.10"," 0.70%"," 0.05%","30-Jun-2017","7.99","42.74","81.06","1.13","1.23%","1.08%","15-Aug-2017","7.92","42.36","80.35","1.12","1.24%","1.09%"
"31-Dec-2017","22-May-2017","31-Mar-2017","1","336,657","229,380","203,437","176,725","155,258","12,799,811","87.85%","60.43%","1.38%","1,805,333","18.65","18.65","9.79","9.79","8.60","8.60","7.0900","7.09"," -49.09%"," -3.30%","31-Mar-2017","7.93","42.52","81.01","1.12","1.23%","1.08%","22-May-2017","7.87","42.20","80.40","1.11","1.24%","1.09%"
"31-Dec-2016","20-Jan-2017","31-Dec-2016","4","344,689","406,149","392,809","347,128","177,825","12,799,811","51.23%","113.96%","2.71%","1,805,333","19.09","19.09","19.23","19.23","9.85","9.85","7.0900","7.09"," 94.77%"," -44.31%","30-Dec-2016","8.30","43.47","43.17","1.17","2.32%","1.19%","20-Jan-2017","7.82","40.96","40.67","1.10","2.46%","1.26%"
"31-Dec-2016","03-Nov-2016","30-Sep-2016","3","329,535","230,122","204,403","178,226","155,258","12,601,224","87.11%","62.03%","1.41%","1,805,333","18.25","18.25","9.87","9.87","8.60","8.60","6.9800","6.98"," 0.20%"," 18.97%","30-Sep-2016","7.72","42.29","78.20","1.11","1.28%","1.11%","03-Nov-2016","7.80","42.73","79.01","1.12","1.27%","1.10%"
"31-Dec-2016","02-Aug-2016","30-Jun-2016","2","334,572","230,327","204,413","177,863","155,258","12,583,170","87.29%","61.10%","1.41%","1,805,333","18.53","18.53","9.85","9.85","8.60","8.60","6.9700","6.97"," -2.68%"," -1.11%","30-Jun-2016","7.48","40.36","75.92","1.07","1.32%","1.15%","02-Aug-2016","7.50","40.47","76.13","1.08","1.31%","1.15%"
"31-Dec-2016","06-May-2016","31-Mar-2016","1","334,750","236,100","209,402","182,754","155,258","12,565,117","84.95%","62.55%","1.45%","1,805,333","18.54","18.54","10.12","10.12","8.60","8.60","6.9600","6.96"," -70.68%"," 2.38%","31-Mar-2016","7.16","38.61","70.73","1.03","1.41%","1.20%","06-May-2016","7.20","38.83","71.13","1.03","1.41%","1.19%"
