F.Y.,Ann. Date,Quarter,#,Revenue,PBT,NP,NP to SH,Div,Net Worth,Div Payout %,NP Margin,ROE,NOSH,RPS,Adj. RPS,EPS,Adj. EPS,DPS,Adj. DPS,NAPS,Adj. NAPS,QoQ,YoY,EOQ Date,EOQ Price,EOQ P/RPS,EOQ P/EPS,EOQ P/NAPS,EOQ EY,EOQ DY,ANN Date,ANN Price,ANN P/RPS,ANN P/EPS,ANN P/NAPS,ANN EY,ANN DY
"31-Dec-2018","24-Jan-2019","31-Dec-2018","4","1,405,941","964,093","838,920","724,914","667,973","13,088,664","92.15%","59.67%","5.54%","1,805,333","77.88","77.88","40.15","40.15","37.00","37.00","7.2500","7.25"," 0.45%"," -17.43%","31-Dec-2018","7.66","9.84","19.08","1.06","5.24%","4.83%","24-Jan-2019","7.90","10.14","19.67","1.09","5.08%","4.68%"
"31-Dec-2018","13-Nov-2018","30-Sep-2018","3","1,386,124","934,850","833,113","721,670","628,255","13,070,610","87.06%","60.10%","5.52%","1,805,333","76.78","76.78","39.97","39.97","34.80","34.80","7.2400","7.24"," 0.28%"," 1.67%","28-Sep-2018","7.60","9.90","19.01","1.05","5.26%","4.58%","13-Nov-2018","7.66","9.98","19.16","1.06","5.22%","4.54%"
"31-Dec-2018","15-Aug-2018","30-Jun-2018","2","1,380,226","933,244","829,770","719,638","628,255","13,052,557","87.30%","60.12%","5.51%","1,805,333","76.45","76.45","39.86","39.86","34.80","34.80","7.2300","7.23"," -0.42%"," 1.45%","29-Jun-2018","8.00","10.46","20.07","1.11","4.98%","4.35%","15-Aug-2018","7.62","9.97","19.12","1.05","5.23%","4.57%"
"31-Dec-2018","16-May-2018","31-Mar-2018","1","1,380,448","935,548","834,688","722,684","628,255","13,016,450","86.93%","60.47%","5.55%","1,805,333","76.47","76.47","40.04","40.03","34.80","34.80","7.2100","7.21"," -17.68%"," 2.23%","30-Mar-2018","7.17","9.38","17.91","0.99","5.58%","4.85%","16-May-2018","7.82","10.23","19.54","1.08","5.12%","4.45%"
"31-Dec-2017","24-Jan-2018","31-Dec-2017","4","1,366,751","1,115,331","1,013,565","877,900","652,627","13,034,503","74.34%","74.16%","6.74%","1,805,333","75.71","75.71","48.63","48.63","36.15","36.15","7.2200","7.22"," 23.67%"," -0.91%","29-Dec-2017","8.64","11.41","17.77","1.20","5.63%","4.18%","24-Jan-2018","7.80","10.30","16.04","1.08","6.23%","4.63%"
"31-Dec-2017","13-Nov-2017","30-Sep-2017","3","1,352,905","923,353","817,853","709,845","621,034","12,835,917","87.49%","60.45%","5.53%","1,805,333","74.94","74.94","39.32","39.32","34.40","34.40","7.1100","7.11"," 0.07%"," -1.20%","29-Sep-2017","8.00","10.68","20.35","1.13","4.91%","4.30%","13-Nov-2017","7.77","10.37","19.76","1.09","5.06%","4.43%"
"31-Dec-2017","15-Aug-2017","30-Jun-2017","2","1,348,352","918,914","816,570","709,366","621,034","12,817,864","87.55%","60.56%","5.53%","1,805,333","74.69","74.69","39.30","39.29","34.40","34.40","7.1000","7.10"," 0.35%"," -1.65%","30-Jun-2017","7.99","10.70","20.33","1.13","4.92%","4.31%","15-Aug-2017","7.92","10.60","20.16","1.12","4.96%","4.34%"
"31-Dec-2017","22-May-2017","31-Mar-2017","1","1,346,628","917,520","813,748","706,900","621,034","12,799,811","87.85%","60.43%","5.52%","1,805,333","74.59","74.59","39.16","39.16","34.40","34.40","7.0900","7.09"," -20.21%"," -3.30%","31-Mar-2017","7.93","10.63","20.25","1.12","4.94%","4.34%","22-May-2017","7.87","10.55","20.10","1.11","4.98%","4.37%"
"31-Dec-2016","20-Jan-2017","31-Dec-2016","4","1,343,546","1,102,698","1,011,027","885,971","643,601","12,799,811","72.64%","75.25%","6.92%","1,805,333","74.42","74.42","49.08","49.08","35.65","35.65","7.0900","7.09"," 23.32%"," -21.70%","30-Dec-2016","8.30","11.15","16.91","1.17","5.91%","4.30%","20-Jan-2017","7.82","10.51","15.93","1.10","6.28%","4.56%"
"31-Dec-2016","03-Nov-2016","30-Sep-2016","3","1,331,809","928,732","824,290","718,457","621,034","12,601,224","86.44%","61.89%","5.70%","1,805,333","73.77","73.77","39.80","39.80","34.40","34.40","6.9800","6.98"," -0.38%"," 6.04%","30-Sep-2016","7.72","10.46","19.40","1.11","5.15%","4.46%","03-Nov-2016","7.80","10.57","19.60","1.12","5.10%","4.41%"
