F.Y.,Ann. Date,Quarter,#,Revenue,PBT,NP,NP to SH,Div,Net Worth,Div Payout %,NP Margin,ROE,NOSH,RPS,Adj. RPS,EPS,Adj. EPS,DPS,Adj. DPS,NAPS,Adj. NAPS,QoQ,YoY,EOQ Date,EOQ Price,EOQ P/RPS,EOQ P/EPS,EOQ P/NAPS,EOQ EY,EOQ DY,ANN Date,ANN Price,ANN P/RPS,ANN P/EPS,ANN P/NAPS,ANN EY,ANN DY
"31-Dec-2018","24-Jan-2019","31-Dec-2018","4","1,405,941","964,093","838,920","724,914","667,973","13,088,664","92.15%","59.67%","5.54%","1,805,333","77.88","77.88","40.15","40.15","37.00","37.00","7.2500","7.25"," 33.93%"," -17.43%","31-Dec-2018","7.66","9.84","19.08","1.06","5.24%","4.83%","24-Jan-2019","7.90","10.14","19.67","1.09","5.08%","4.68%"
"31-Dec-2018","13-Nov-2018","30-Sep-2018","3","1,039,593","701,138","624,835","541,253","471,191","13,070,610","87.06%","60.10%","4.14%","1,805,333","57.58","57.58","29.98","29.98","26.10","26.10","7.2400","7.24"," 50.42%"," 1.67%","28-Sep-2018","7.60","13.20","25.35","1.05","3.94%","3.43%","13-Nov-2018","7.66","13.30","25.55","1.06","3.91%","3.41%"
"31-Dec-2018","15-Aug-2018","30-Jun-2018","2","690,113","466,622","414,885","359,819","314,127","13,052,557","87.30%","60.12%","2.76%","1,805,333","38.23","38.23","19.93","19.93","17.40","17.40","7.2300","7.23"," 99.16%"," 1.45%","29-Jun-2018","8.00","20.93","40.14","1.11","2.49%","2.18%","15-Aug-2018","7.62","19.93","38.23","1.05","2.62%","2.28%"
"31-Dec-2018","16-May-2018","31-Mar-2018","1","345,112","233,887","208,672","180,671","157,063","13,016,450","86.93%","60.47%","1.39%","1,805,333","19.12","19.12","10.01","10.01","8.70","8.70","7.2100","7.21"," -79.42%"," 2.23%","30-Mar-2018","7.17","37.51","71.65","0.99","1.40%","1.21%","16-May-2018","7.82","40.91","78.14","1.08","1.28%","1.11%"
"31-Dec-2017","24-Jan-2018","31-Dec-2017","4","1,366,751","1,115,331","1,013,565","877,900","652,627","13,034,503","74.34%","74.16%","6.74%","1,805,333","75.71","75.71","48.63","48.63","36.15","36.15","7.2200","7.22"," 64.90%"," -0.91%","29-Dec-2017","8.64","11.41","17.77","1.20","5.63%","4.18%","24-Jan-2018","7.80","10.30","16.04","1.08","6.23%","4.63%"
"31-Dec-2017","13-Nov-2017","30-Sep-2017","3","1,014,679","692,515","613,390","532,384","465,775","12,835,917","87.49%","60.45%","4.15%","1,805,333","56.20","56.20","29.49","29.49","25.80","25.80","7.1100","7.11"," 50.10%"," -1.20%","29-Sep-2017","8.00","14.23","27.13","1.13","3.69%","3.23%","13-Nov-2017","7.77","13.82","26.35","1.09","3.80%","3.32%"
"31-Dec-2017","15-Aug-2017","30-Jun-2017","2","674,176","459,457","408,285","354,683","310,517","12,817,864","87.55%","60.56%","2.77%","1,805,333","37.34","37.34","19.65","19.65","17.20","17.20","7.1000","7.10"," 100.70%"," -1.65%","30-Jun-2017","7.99","21.40","40.67","1.13","2.46%","2.15%","15-Aug-2017","7.92","21.21","40.31","1.12","2.48%","2.17%"
"31-Dec-2017","22-May-2017","31-Mar-2017","1","336,657","229,380","203,437","176,725","155,258","12,799,811","87.85%","60.43%","1.38%","1,805,333","18.65","18.65","9.79","9.79","8.60","8.60","7.0900","7.09"," -80.05%"," -3.30%","31-Mar-2017","7.93","42.52","81.01","1.12","1.23%","1.08%","22-May-2017","7.87","42.20","80.40","1.11","1.24%","1.09%"
"31-Dec-2016","20-Jan-2017","31-Dec-2016","4","1,343,546","1,102,698","1,011,027","885,971","643,601","12,799,811","72.64%","75.25%","6.92%","1,805,333","74.42","74.42","49.08","49.08","35.65","35.65","7.0900","7.09"," 64.42%"," -21.70%","30-Dec-2016","8.30","11.15","16.91","1.17","5.91%","4.30%","20-Jan-2017","7.82","10.51","15.93","1.10","6.28%","4.56%"
"31-Dec-2016","03-Nov-2016","30-Sep-2016","3","998,857","696,549","618,218","538,843","465,775","12,601,224","86.44%","61.89%","4.28%","1,805,333","55.33","55.33","29.85","29.85","25.80","25.80","6.9800","6.98"," 49.42%"," 6.04%","30-Sep-2016","7.72","13.95","25.86","1.11","3.87%","3.34%","03-Nov-2016","7.80","14.10","26.13","1.12","3.83%","3.31%"
"31-Dec-2016","02-Aug-2016","30-Jun-2016","2","669,322","466,427","413,815","360,617","310,517","12,583,170","86.11%","61.83%","2.87%","1,805,333","37.07","37.07","19.98","19.98","17.20","17.20","6.9700","6.97"," 97.32%"," 0.63%","30-Jun-2016","7.48","20.18","37.45","1.07","2.67%","2.30%","02-Aug-2016","7.50","20.23","37.55","1.08","2.66%","2.29%"
"31-Dec-2016","06-May-2016","31-Mar-2016","1","334,750","236,100","209,402","182,754","155,258","12,565,117","84.95%","62.55%","1.45%","1,805,333","18.54","18.54","10.12","10.12","8.60","8.60","6.9600","6.96"," -83.85%"," 2.38%","31-Mar-2016","7.16","38.61","70.73","1.03","1.41%","1.20%","06-May-2016","7.20","38.83","71.13","1.03","1.41%","1.19%"
"31-Dec-2015","21-Jan-2016","31-Dec-2015","4","1,340,229","1,518,355","1,403,189","1,131,521","625,547","12,547,064","55.28%","104.70%","9.02%","1,805,333","74.24","74.24","62.68","62.68","34.65","34.65","6.9500","6.95"," 122.66%"," 20.64%","31-Dec-2015","7.06","9.51","11.26","1.02","8.88%","4.91%","21-Jan-2016","6.96","9.38","11.10","1.00","9.01%","4.98%"
"31-Dec-2015","11-Nov-2015","30-Sep-2015","3","993,085","668,770","586,403","508,172","448,264","12,077,677","88.21%","59.05%","4.21%","1,805,333","55.01","55.01","28.15","28.15","24.83","24.83","6.6900","6.69"," 41.80%"," 0.42%","30-Sep-2015","7.00","12.73","24.87","1.05","4.02%","3.55%","11-Nov-2015","7.00","12.73","24.87","1.05","4.02%","3.55%"
"31-Dec-2015","07-Aug-2015","30-Jun-2015","2","655,900","463,569","410,267","358,370","301,129","12,077,677","84.03%","62.55%","2.97%","1,805,333","36.33","36.33","19.85","19.85","16.68","16.68","6.6900","6.69"," 100.76%"," 7.02%","30-Jun-2015","6.96","19.16","35.06","1.04","2.85%","2.40%","07-Aug-2015","7.29","20.07","36.72","1.09","2.72%","2.29%"
