F.Y.,Ann. Date,Quarter,#,Revenue,PBT,NP,NP to SH,Div,Net Worth,Div Payout %,NP Margin,ROE,NOSH,RPS,Adj. RPS,EPS,Adj. EPS,DPS,Adj. DPS,NAPS,Adj. NAPS,QoQ,YoY,EOQ Date,EOQ Price,EOQ P/RPS,EOQ P/EPS,EOQ P/NAPS,EOQ EY,EOQ DY,ANN Date,ANN Price,ANN P/RPS,ANN P/EPS,ANN P/NAPS,ANN EY,ANN DY
"31-Dec-2019","20-Aug-2019","30-Jun-2019","2","1,420,367","971,088","844,361","729,429","671,583","13,106,718","92.07%","59.45%","5.57%","1,805,333","78.68","78.68","40.40","40.40","37.20","37.20","7.2600","7.26"," 0.17%"," -17.40%","28-Jun-2019","7.77","9.88","19.23","1.07","5.20%","4.79%","20-Aug-2019","7.87","10.00","19.48","1.08","5.13%","4.73%"
"31-Dec-2019","07-May-2019","31-Mar-2019","1","1,414,275","969,801","842,878","728,201","669,778","13,088,664","91.98%","59.60%","5.56%","1,805,333","78.34","78.34","40.34","40.34","37.10","37.10","7.2500","7.25"," 0.45%"," -17.42%","29-Mar-2019","7.76","9.91","19.24","1.07","5.20%","4.78%","07-May-2019","7.86","10.03","19.49","1.08","5.13%","4.72%"
"31-Dec-2018","24-Jan-2019","31-Dec-2018","4","1,405,941","964,093","838,920","724,914","667,973","13,088,664","92.15%","59.67%","5.54%","1,805,333","77.88","77.88","40.15","40.15","37.00","37.00","7.2500","7.25"," -18.25%"," -17.43%","31-Dec-2018","7.66","9.84","19.08","1.06","5.24%","4.83%","24-Jan-2019","7.90","10.14","19.67","1.09","5.08%","4.68%"
"31-Dec-2018","13-Nov-2018","30-Sep-2018","3","1,391,665","1,123,954","1,025,010","886,769","658,043","13,070,610","74.21%","73.65%","6.78%","1,805,333","77.09","77.09","49.12","49.12","36.45","36.45","7.2400","7.24"," 0.42%"," 0.83%","28-Sep-2018","7.60","9.86","15.47","1.05","6.46%","4.80%","13-Nov-2018","7.66","9.94","15.59","1.06","6.41%","4.76%"
"31-Dec-2018","15-Aug-2018","30-Jun-2018","2","1,382,688","1,122,496","1,020,165","883,036","656,238","13,052,557","74.32%","73.78%","6.77%","1,805,333","76.59","76.59","48.91","48.91","36.35","36.35","7.2300","7.23"," 0.13%"," 0.34%","29-Jun-2018","8.00","10.45","16.36","1.11","6.11%","4.54%","15-Aug-2018","7.62","9.95","15.58","1.05","6.42%","4.77%"
"31-Dec-2018","16-May-2018","31-Mar-2018","1","1,375,206","1,119,838","1,018,800","881,846","654,433","13,016,450","74.21%","74.08%","6.77%","1,805,333","76.17","76.17","48.85","48.85","36.25","36.25","7.2100","7.21"," 0.45%"," 0.22%","30-Mar-2018","7.17","9.41","14.68","0.99","6.81%","5.06%","16-May-2018","7.82","10.27","16.01","1.08","6.25%","4.64%"
"31-Dec-2017","24-Jan-2018","31-Dec-2017","4","1,366,751","1,115,331","1,013,565","877,900","652,627","13,034,503","74.34%","74.16%","6.74%","1,805,333","75.71","75.71","48.63","48.63","36.15","36.15","7.2200","7.22"," -0.18%"," -0.91%","29-Dec-2017","8.64","11.41","17.77","1.20","5.63%","4.18%","24-Jan-2018","7.80","10.30","16.04","1.08","6.23%","4.63%"
"31-Dec-2017","13-Nov-2017","30-Sep-2017","3","1,359,368","1,098,664","1,006,199","879,512","643,601","12,835,917","73.18%","74.02%","6.85%","1,805,333","75.30","75.30","48.72","48.72","35.65","35.65","7.1100","7.11"," -0.06%"," -24.32%","29-Sep-2017","8.00","10.62","16.42","1.13","6.09%","4.46%","13-Nov-2017","7.77","10.32","15.95","1.09","6.27%","4.59%"
"31-Dec-2017","15-Aug-2017","30-Jun-2017","2","1,348,400","1,095,728","1,005,497","880,037","643,601","12,817,864","73.13%","74.57%","6.87%","1,805,333","74.69","74.69","48.75","48.75","35.65","35.65","7.1000","7.10"," 0.01%"," -22.38%","30-Jun-2017","7.99","10.70","16.39","1.13","6.10%","4.46%","15-Aug-2017","7.92","10.60","16.25","1.12","6.15%","4.50%"
"31-Dec-2017","22-May-2017","31-Mar-2017","1","1,345,453","1,095,978","1,005,062","879,942","643,601","12,799,811","73.14%","74.70%","6.87%","1,805,333","74.53","74.53","48.74","48.74","35.65","35.65","7.0900","7.09"," -0.68%"," -22.52%","31-Mar-2017","7.93","10.64","16.27","1.12","6.15%","4.50%","22-May-2017","7.87","10.56","16.15","1.11","6.19%","4.53%"
"31-Dec-2016","20-Jan-2017","31-Dec-2016","4","1,343,546","1,102,698","1,011,027","885,971","643,601","12,799,811","72.64%","75.25%","6.92%","1,805,333","74.42","74.42","49.08","49.08","35.65","35.65","7.0900","7.09"," -23.77%"," -21.70%","30-Dec-2016","8.30","11.15","16.91","1.17","5.91%","4.30%","20-Jan-2017","7.82","10.51","15.93","1.10","6.28%","4.56%"
"31-Dec-2016","03-Nov-2016","30-Sep-2016","3","1,346,001","1,546,134","1,435,004","1,162,192","643,059","12,601,224","55.33%","106.61%","9.22%","1,805,333","74.56","74.56","64.38","64.38","35.62","35.62","6.9800","6.98"," 2.51%"," 23.63%","30-Sep-2016","7.72","10.35","11.99","1.11","8.34%","4.61%","03-Nov-2016","7.80","10.46","12.12","1.12","8.25%","4.57%"
"31-Dec-2016","02-Aug-2016","30-Jun-2016","2","1,353,651","1,521,213","1,406,737","1,133,768","634,935","12,583,170","56.00%","103.92%","9.01%","1,805,333","74.98","74.98","62.80","62.80","35.17","35.17","6.9700","6.97"," -0.18%"," 17.92%","30-Jun-2016","7.48","9.98","11.91","1.07","8.40%","4.70%","02-Aug-2016","7.50","10.00","11.94","1.08","8.37%","4.69%"
"31-Dec-2016","06-May-2016","31-Mar-2016","1","1,348,085","1,523,525","1,408,360","1,135,768","630,241","12,565,117","55.49%","104.47%","9.04%","1,805,333","74.67","74.67","62.91","62.91","34.91","34.91","6.9600","6.96"," 0.38%"," 21.80%","31-Mar-2016","7.16","9.59","11.38","1.03","8.79%","4.88%","06-May-2016","7.20","9.64","11.44","1.03","8.74%","4.85%"
"31-Dec-2015","21-Jan-2016","31-Dec-2015","4","1,340,229","1,518,355","1,403,189","1,131,521","625,547","12,547,064","55.28%","104.70%","9.02%","1,805,333","74.24","74.24","62.68","62.68","34.65","34.65","6.9500","6.95"," 20.37%"," 20.64%","31-Dec-2015","7.06","9.51","11.26","1.02","8.88%","4.91%","21-Jan-2016","6.96","9.38","11.10","1.00","9.01%","4.98%"
"31-Dec-2015","11-Nov-2015","30-Sep-2015","3","1,340,085","1,270,158","1,159,941","940,056","606,230","12,077,677","64.49%","86.56%","7.78%","1,805,333","74.23","74.23","52.07","52.07","33.58","33.58","6.6900","6.69"," -2.22%"," 6.93%","30-Sep-2015","7.00","9.43","13.44","1.05","7.44%","4.80%","11-Nov-2015","7.00","9.43","13.44","1.05","7.44%","4.80%"
"31-Dec-2015","07-Aug-2015","30-Jun-2015","2","1,335,720","1,296,853","1,180,730","961,439","606,952","12,077,677","63.13%","88.40%","7.96%","1,805,333","73.99","73.99","53.26","53.26","33.62","33.62","6.6900","6.69"," 3.11%"," 8.54%","30-Jun-2015","6.96","9.41","13.07","1.04","7.65%","4.83%","07-Aug-2015","7.29","9.85","13.69","1.09","7.31%","4.61%"
"31-Dec-2015","05-May-2015","31-Mar-2015","1","1,339,528","1,267,702","1,150,463","932,471","601,717","12,041,571","64.53%","85.89%","7.74%","1,805,333","74.20","74.20","51.65","51.65","33.33","33.33","6.6700","6.67"," -0.58%"," 1.19%","31-Mar-2015","6.99","9.42","13.53","1.05","7.39%","4.77%","05-May-2015","7.14","9.62","13.82","1.07","7.23%","4.67%"
"31-Dec-2014","26-Jan-2015","31-Dec-2014","4","1,353,516","1,280,459","1,159,387","937,927","607,314","12,023,517","64.75%","85.66%","7.80%","1,805,333","74.97","74.97","51.95","51.95","33.64","33.64","6.6600","6.66"," 6.69%"," 13.62%","31-Dec-2014","6.71","8.95","12.92","1.01","7.74%","5.01%","26-Jan-2015","6.80","9.07","13.09","1.02","7.64%","4.95%"
"31-Dec-2014","07-Nov-2014","30-Sep-2014","3","1,338,695","1,175,838","1,052,396","879,144","606,591","11,734,664","69.00%","78.61%","7.49%","1,805,333","74.15","74.15","48.70","48.70","33.60","33.60","6.5000","6.50"," -0.75%"," 59.26%","30-Sep-2014","6.64","8.95","13.64","1.02","7.33%","5.06%","07-Nov-2014","6.78","9.14","13.92","1.04","7.18%","4.96%"
"31-Dec-2014","11-Aug-2014","30-Jun-2014","2","1,328,426","1,167,795","1,057,452","885,763","608,216","11,716,610","68.67%","79.60%","7.56%","1,805,333","73.58","73.58","49.06","49.06","33.69","33.69","6.4900","6.49"," -3.88%"," -42.69%","30-Jun-2014","6.53","8.87","13.31","1.01","7.51%","5.16%","11-Aug-2014","6.40","8.70","13.04","0.99","7.67%","5.26%"
"31-Dec-2014","09-May-2014","31-Mar-2014","1","1,312,541","1,185,054","1,095,398","921,505","590,965","11,716,610","64.13%","83.46%","7.86%","1,805,333","72.70","72.70","51.04","51.04","32.73","32.73","6.4900","6.49"," 11.63%"," -36.47%","31-Mar-2014","6.35","8.73","12.44","0.98","8.04%","5.16%","09-May-2014","6.46","8.89","12.66","1.00","7.90%","5.07%"
"31-Dec-2013","21-Jan-2014","31-Dec-2013","4","1,283,655","1,147,878","1,032,356","825,504","476,837","11,698,557","57.76%","80.42%","7.06%","1,805,333","71.10","71.10","45.73","45.73","26.41","26.41","6.4800","6.48"," 49.55%"," -43.62%","31-Dec-2013","5.85","8.23","12.79","0.90","7.82%","4.51%","21-Jan-2014","5.50","7.74","12.03","0.85","8.31%","4.80%"

