Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,CAGR
"Revenue","1,386,124","1,391,665","1,405,941","1,366,751","1,343,546","1,340,229","1,353,516","1,283,655","1,178,311","2.99%"
"YoY %","-0.40%","-1.02%","2.87%","1.73%","0.25%","-0.98%","5.44%","8.94%","-",""
"Horiz. %","117.64%","118.11%","119.32%","115.99%","114.02%","113.74%","114.87%","108.94%","100.00%",""
"PBT","934,850","1,123,954","964,093","1,115,331","1,102,698","1,518,355","1,280,459","1,147,878","2,193,496","-12.80%"
"YoY %","-16.82%","16.58%","-13.56%","1.15%","-27.38%","18.58%","11.55%","-47.67%","-",""
"Horiz. %","42.62%","51.24%","43.95%","50.85%","50.27%","69.22%","58.38%","52.33%","100.00%",""
"Tax","-101,737","-98,944","-125,173","-101,766","-91,671","-115,166","-121,072","-115,522","-209,067","-8.19%"
"YoY %","-2.82%","20.95%","-23.00%","-11.01%","20.40%","4.88%","-4.80%","44.74%","-",""
"Horiz. %","48.66%","47.33%","59.87%","48.68%","43.85%","55.09%","57.91%","55.26%","100.00%",""
"NP","833,113","1,025,010","838,920","1,013,565","1,011,027","1,403,189","1,159,387","1,032,356","1,984,429","-13.36%"
"YoY %","-18.72%","22.18%","-17.23%","0.25%","-27.95%","21.03%","12.30%","-47.98%","-",""
"Horiz. %","41.98%","51.65%","42.28%","51.08%","50.95%","70.71%","58.42%","52.02%","100.00%",""
"NP to SH","721,670","886,769","724,914","877,900","885,971","1,131,521","937,927","825,504","1,464,097","-11.05%"
"YoY %","-18.62%","22.33%","-17.43%","-0.91%","-21.70%","20.64%","13.62%","-43.62%","-",""
"Horiz. %","49.29%","60.57%","49.51%","59.96%","60.51%","77.28%","64.06%","56.38%","100.00%",""
"Tax Rate","10.88    %","8.80    %","12.98    %","9.12    %","8.31    %","7.58    %","9.46    %","10.06    %","9.53    %","5.28%"
"YoY %","23.64%","-32.20%","42.32%","9.75%","9.63%","-19.87%","-5.96%","5.56%","-",""
"Horiz. %","114.17%","92.34%","136.20%","95.70%","87.20%","79.54%","99.27%","105.56%","100.00%",""
"Total Cost","553,010","366,655","567,021","353,186","332,519","-62,960","194,129","251,299","-806,118","-"
"YoY %","50.83%","-35.34%","60.54%","6.22%","628.14%","-132.43%","-22.75%","131.17%","-",""
"Horiz. %","-68.60%","-45.48%","-70.34%","-43.81%","-41.25%","7.81%","-24.08%","-31.17%","100.00%",""
"Net Worth","13,070,610","13,070,610","13,088,664","13,034,503","12,799,811","12,547,064","12,023,517","11,698,557","7,743,473","9.14%"
"YoY %","0.00%","-0.14%","0.42%","1.83%","2.01%","4.35%","2.78%","51.08%","-",""
"Horiz. %","168.80%","168.80%","169.03%","168.33%","165.30%","162.03%","155.27%","151.08%","100.00%",""
"Div","628,255","658,043","667,973","652,627","643,601","625,547","607,314","522,463","154,122","27.67%"
"YoY %","-4.53%","-1.49%","2.35%","1.40%","2.89%","3.00%","16.24%","238.99%","-",""
"Horiz. %","407.63%","426.96%","433.40%","423.45%","417.59%","405.88%","394.05%","338.99%","100.00%",""
"Div Payout %","87.06    %","74.21    %","92.15    %","74.34    %","72.64    %","55.28    %","64.75    %","63.29    %","10.53    %","43.53%"
"YoY %","17.32%","-19.47%","23.96%","2.34%","31.40%","-14.63%","2.31%","501.04%","-",""
"Horiz. %","826.78%","704.75%","875.12%","705.98%","689.84%","524.98%","614.91%","601.04%","100.00%",""
"Net Worth","13,070,610","13,070,610","13,088,664","13,034,503","12,799,811","12,547,064","12,023,517","11,698,557","7,743,473","9.14%"
"YoY %","0.00%","-0.14%","0.42%","1.83%","2.01%","4.35%","2.78%","51.08%","-",""
"Horiz. %","168.80%","168.80%","169.03%","168.33%","165.30%","162.03%","155.27%","151.08%","100.00%",""
"NOSH","1,805,333","1,805,333","1,805,333","1,805,333","1,805,333","1,805,333","1,805,333","1,805,333","934,074","11.60%"
"YoY %","0.00%","-0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","93.28%","-",""
"Horiz. %","193.28%","193.28%","193.28%","193.28%","193.28%","193.28%","193.28%","193.28%","100.00%",""
