Date,Open Price,Target Price,Upside/Downside,Price Call,Source
"27/08/2019","8.40","8.51","+0.11 (1.31%)","BUY","HLG"
"22/08/2019","7.88","7.78","-0.10 (1.27%)","HOLD","MIDF"
"22/08/2019","7.87","8.51","+0.64 (8.13%)","BUY","HLG"
"21/08/2019","7.88","7.78","-0.10 (1.27%)","HOLD","MIDF"
"21/08/2019","7.88","7.75","-0.13 (1.65%)","HOLD","KENANGA"
"21/08/2019","7.87","8.51","+0.64 (8.13%)","BUY","HLG"
"21/08/2019","7.88","8.55","+0.67 (8.50%)","BUY","AffinHwang"
"09/07/2019","7.80","8.55","+0.75 (9.62%)","BUY","AffinHwang"
"08/05/2019","7.86","7.78","-0.08 (1.02%)","HOLD","MIDF"
"08/05/2019","7.86","7.35","-0.51 (6.49%)","HOLD","KENANGA"

