Column1,AQR,T4Q,30/04/18,30/04/17,30/04/16,30/04/15,30/04/14,30/04/13,CAGR
"Revenue","143,357","138,000","129,415","125,447","120,953","133,282","118,081","0","-"
"YoY %","3.88%","6.63%","3.16%","3.72%","-9.25%","12.87%","0.00%","-",""
"Horiz. %","121.41%","116.87%","109.60%","106.24%","102.43%","112.87%","100.00%","-",""
"PBT","2,274","2,119","4,486","7,856","8,473","13,292","10,925","0","-"
"YoY %","7.35%","-52.76%","-42.90%","-7.28%","-36.25%","21.67%","0.00%","-",""
"Horiz. %","20.82%","19.40%","41.06%","71.91%","77.56%","121.67%","100.00%","-",""
"Tax","-765","-934","-1,814","-2,965","-2,912","-3,798","-3,481","0","-"
"YoY %","18.06%","48.51%","38.82%","-1.82%","23.33%","-9.11%","0.00%","-",""
"Horiz. %","21.99%","26.83%","52.11%","85.18%","83.65%","109.11%","100.00%","-",""
"NP","1,509","1,185","2,672","4,891","5,561","9,494","7,444","0","-"
"YoY %","27.37%","-55.65%","-45.37%","-12.05%","-41.43%","27.54%","0.00%","-",""
"Horiz. %","20.28%","15.92%","35.89%","65.70%","74.70%","127.54%","100.00%","-",""
"NP to SH","1,509","1,178","2,661","4,911","5,707","9,546","7,454","0","-"
"YoY %","28.13%","-55.73%","-45.82%","-13.95%","-40.22%","28.07%","0.00%","-",""
"Horiz. %","20.25%","15.80%","35.70%","65.88%","76.56%","128.07%","100.00%","-",""
"Tax Rate","33.65    %","44.08    %","40.44    %","37.74    %","34.37    %","28.57    %","31.86    %","-     %","-"
"YoY %","-23.66%","9.00%","7.15%","9.81%","20.30%","-10.33%","0.00%","-",""
"Horiz. %","105.62%","138.36%","126.93%","118.46%","107.88%","89.67%","100.00%","-",""
"Total Cost","141,848","136,815","126,743","120,556","115,392","123,788","110,637","0","-"
"YoY %","3.68%","7.95%","5.13%","4.48%","-6.78%","11.89%","0.00%","-",""
"Horiz. %","128.21%","123.66%","114.56%","108.97%","104.30%","111.89%","100.00%","-",""
"Net Worth","141,141","141,141","140,641","138,173","132,835","97,428","82,213","-","-"
"YoY %","0.00%","0.36%","1.79%","4.02%","36.34%","18.51%","0.00%","-",""
"Horiz. %","171.68%","171.68%","171.07%","168.07%","161.57%","118.51%","100.00%","-",""
"Div","-","781","781","1,331","2,623","44","-","-","-"
"YoY %","0.00%","0.00%","-41.33%","-49.24%","5,735.32%","0.00%","0.00%","-",""
"Horiz. %","0.00%","1,737.62%","1,737.62%","2,961.78%","5,835.32%","100.00%","-","-",""
"Div Payout %","-     %","66.33    %","29.36    %","27.12    %","45.98    %","0.47    %","-     %","-     %","-"
"YoY %","0.00%","125.92%","8.26%","-41.02%","9,682.98%","0.00%","0.00%","-",""
"Horiz. %","0.00%","14,112.77%","6,246.81%","5,770.21%","9,782.98%","100.00%","-","-",""
"Net Worth","141,141","141,141","140,641","138,173","132,835","97,428","82,213","-","-"
"YoY %","0.00%","0.36%","1.79%","4.02%","36.34%","18.51%","0.00%","-",""
"Horiz. %","171.68%","171.68%","171.07%","168.07%","161.57%","118.51%","100.00%","-",""
"NOSH","392,060","392,060","390,670","166,474","163,994","149,889","137,022","-","-"
"YoY %","0.00%","0.36%","134.67%","1.51%","9.41%","9.39%","0.00%","-",""
"Horiz. %","286.13%","286.13%","285.11%","121.49%","119.68%","109.39%","100.00%","-",""
"NP Margin","1.05    %","0.86    %","2.06    %","3.90    %","4.60    %","7.12    %","6.30    %","-     %","-"
"YoY %","22.09%","-58.25%","-47.18%","-15.22%","-35.39%","13.02%","0.00%","-",""
"Horiz. %","16.67%","13.65%","32.70%","61.90%","73.02%","113.02%","100.00%","-",""
"ROE","1.07    %","0.83    %","1.89    %","3.55    %","4.30    %","9.80    %","9.07    %","-     %","-"
"YoY %","28.92%","-56.08%","-46.76%","-17.44%","-56.12%","8.05%","0.00%","-",""
"Horiz. %","11.80%","9.15%","20.84%","39.14%","47.41%","108.05%","100.00%","-",""
"RPS","36.57","35.20","33.13","75.36","73.75","88.92","86.18","-","-"
"YoY %","3.89%","6.25%","-56.04%","2.18%","-17.06%","3.18%","0.00%","-",""
"Horiz. %","42.43%","40.84%","38.44%","87.44%","85.58%","103.18%","100.00%","-",""
"EPS","0.35","0.30","0.68","2.95","3.51","6.36","5.44","0.00","-"
"YoY %","16.67%","-55.88%","-76.95%","-15.95%","-44.81%","16.91%","0.00%","-",""
"Horiz. %","6.43%","5.51%","12.50%","54.23%","64.52%","116.91%","100.00%","-",""
"DPS","0.00","0.20","0.20","0.80","1.60","0.03","0.00","0.00","-"
"YoY %","0.00%","0.00%","-75.00%","-50.00%","5,233.33%","0.00%","0.00%","-",""
"Horiz. %","0.00%","666.67%","666.67%","2,666.67%","5,333.33%","100.00%","-","-",""
"NAPS","0.3600","0.3600","0.3600","0.8300","0.8100","0.6500","0.6000","0.0000","-"
"YoY %","0.00%","0.00%","-56.63%","2.47%","24.62%","8.33%","0.00%","-",""
"Horiz. %","60.00%","60.00%","60.00%","138.33%","135.00%","108.33%","100.00%","-",""
"RPS","36.56","35.20","33.01","32.00","30.85","33.99","30.12","-","-"
"YoY %","3.86%","6.63%","3.16%","3.73%","-9.24%","12.85%","0.00%","-",""
"Horiz. %","121.38%","116.87%","109.59%","106.24%","102.42%","112.85%","100.00%","-",""
"EPS","0.38","0.30","0.68","1.25","1.46","2.43","1.90","0.00","-"
"YoY %","26.67%","-55.88%","-45.60%","-14.38%","-39.92%","27.89%","0.00%","-",""
"Horiz. %","20.00%","15.79%","35.79%","65.79%","76.84%","127.89%","100.00%","-",""
"DPS","0.00","0.20","0.20","0.34","0.67","0.01","0.00","0.00","-"
"YoY %","0.00%","0.00%","-41.18%","-49.25%","6,600.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","2,000.00%","2,000.00%","3,400.00%","6,700.00%","100.00%","-","-",""
"NAPS","0.3600","0.3600","0.3587","0.3524","0.3388","0.2485","0.2097","0.0000","-"
"YoY %","0.00%","0.36%","1.79%","4.01%","36.34%","18.50%","0.00%","-",""
"Horiz. %","171.67%","171.67%","171.05%","168.05%","161.56%","118.50%","100.00%","-",""
"Date","AQR","T4Q","30/04/18","28/04/17","29/04/16","30/04/15","30/04/14","-","-"
"Price","0.3100","0.3100","0.3500","1.2300","1.3300","1.4900","0.8500","0.0000","-"
"P/RPS","0.85","0.88","1.06","1.63","1.80","1.68","0.99","0.00","-"
"YoY %","-3.41%","-16.98%","-34.97%","-9.44%","7.14%","69.70%","0.00%","-",""
"Horiz. %","85.86%","88.89%","107.07%","164.65%","181.82%","169.70%","100.00%","-",""
"P/EPS","80.52","103.17","51.38","41.69","38.22","23.40","15.63","0.00","-"
"YoY %","-21.95%","100.80%","23.24%","9.08%","63.33%","49.71%","0.00%","-",""
"Horiz. %","515.16%","660.08%","328.73%","266.73%","244.53%","149.71%","100.00%","-",""
