Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,CAGR
"Revenue","94,244","90,785","82,151","80,033","76,135","20,665","0","-"
"YoY %","3.81%","10.51%","2.65%","5.12%","268.42%","0.00%","-",""
"Horiz. %","456.06%","439.32%","397.54%","387.29%","368.42%","100.00%","-",""
"PBT","34,870","42,034","40,301","40,606","46,667","14,767","0","-"
"YoY %","-17.04%","4.30%","-0.75%","-12.99%","216.02%","0.00%","-",""
"Horiz. %","236.13%","284.65%","272.91%","274.98%","316.02%","100.00%","-",""
"Tax","0","0","0","0","0","0","0","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-",""
"NP","34,870","42,034","40,301","40,606","46,667","14,767","0","-"
"YoY %","-17.04%","4.30%","-0.75%","-12.99%","216.02%","0.00%","-",""
"Horiz. %","236.13%","284.65%","272.91%","274.98%","316.02%","100.00%","-",""
"NP to SH","34,870","42,034","40,301","40,606","46,667","14,767","0","-"
"YoY %","-17.04%","4.30%","-0.75%","-12.99%","216.02%","0.00%","-",""
"Horiz. %","236.13%","284.65%","272.91%","274.98%","316.02%","100.00%","-",""
"Tax Rate","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-",""
"Total Cost","59,374","48,751","41,850","39,427","29,468","5,898","0","-"
"YoY %","21.79%","16.49%","6.15%","33.80%","399.63%","0.00%","-",""
"Horiz. %","1,006.68%","826.57%","709.56%","668.48%","499.63%","100.00%","-",""
"Net Worth","617,873","617,873","620,948","616,308","611,957","587,307","-","-"
"YoY %","0.00%","-0.50%","0.75%","0.71%","4.20%","0.00%","-",""
"Horiz. %","105.20%","105.20%","105.73%","104.94%","104.20%","100.00%","-",""
"Div","40,947","32,073","35,670","36,250","22,039","-","-","-"
"YoY %","27.67%","-10.08%","-1.60%","64.47%","0.00%","0.00%","-",""
"Horiz. %","185.79%","145.53%","161.84%","164.47%","100.00%","-","-",""
"Div Payout %","117.43    %","76.30    %","88.51    %","89.27    %","47.23    %","-     %","-     %","-"
"YoY %","53.91%","-13.80%","-0.85%","89.01%","0.00%","0.00%","-",""
"Horiz. %","248.63%","161.55%","187.40%","189.01%","100.00%","-","-",""
"Net Worth","617,873","617,873","620,948","616,308","611,957","587,307","-","-"
"YoY %","0.00%","-0.50%","0.75%","0.71%","4.20%","0.00%","-",""
"Horiz. %","105.20%","105.20%","105.73%","104.94%","104.20%","100.00%","-",""
"NOSH","580,000","580,000","580,000","580,000","580,000","580,000","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","-",""
"NP Margin","37.00    %","46.30    %","49.06    %","50.74    %","61.30    %","71.46    %","-     %","-"
"YoY %","-20.09%","-5.63%","-3.31%","-17.23%","-14.22%","0.00%","-",""
"Horiz. %","51.78%","64.79%","68.65%","71.00%","85.78%","100.00%","-",""
"ROE","5.64    %","6.80    %","6.49    %","6.59    %","7.63    %","2.51    %","-     %","-"
"YoY %","-17.06%","4.78%","-1.52%","-13.63%","203.98%","0.00%","-",""
"Horiz. %","224.70%","270.92%","258.57%","262.55%","303.98%","100.00%","-",""
"RPS","16.25","15.65","14.16","13.80","13.13","3.56","-","-"
"YoY %","3.83%","10.52%","2.61%","5.10%","268.82%","0.00%","-",""
"Horiz. %","456.46%","439.61%","397.75%","387.64%","368.82%","100.00%","-",""
"EPS","6.02","7.25","6.95","7.00","8.05","2.55","0.00","-"
"YoY %","-16.97%","4.32%","-0.71%","-13.04%","215.69%","0.00%","-",""
"Horiz. %","236.08%","284.31%","272.55%","274.51%","315.69%","100.00%","-",""
"DPS","7.06","5.53","6.15","6.25","3.80","0.00","0.00","-"
"YoY %","27.67%","-10.08%","-1.60%","64.47%","0.00%","0.00%","-",""
"Horiz. %","185.79%","145.53%","161.84%","164.47%","100.00%","-","-",""
"NAPS","1.0653","1.0653","1.0706","1.0626","1.0551","1.0126","0.0000","-"
"YoY %","0.00%","-0.50%","0.75%","0.71%","4.20%","0.00%","-",""
"Horiz. %","105.20%","105.20%","105.73%","104.94%","104.20%","100.00%","-",""
"RPS","16.25","15.65","14.16","13.80","13.13","3.56","-","-"
"YoY %","3.83%","10.52%","2.61%","5.10%","268.82%","0.00%","-",""
"Horiz. %","456.46%","439.61%","397.75%","387.64%","368.82%","100.00%","-",""
"EPS","6.02","7.25","6.95","7.00","8.05","2.55","0.00","-"
"YoY %","-16.97%","4.32%","-0.71%","-13.04%","215.69%","0.00%","-",""
"Horiz. %","236.08%","284.31%","272.55%","274.51%","315.69%","100.00%","-",""
"DPS","7.06","5.53","6.15","6.25","3.80","0.00","0.00","-"
"YoY %","27.67%","-10.08%","-1.60%","64.47%","0.00%","0.00%","-",""
"Horiz. %","185.79%","145.53%","161.84%","164.47%","100.00%","-","-",""
"NAPS","1.0653","1.0653","1.0706","1.0626","1.0551","1.0126","0.0000","-"
"YoY %","0.00%","-0.50%","0.75%","0.71%","4.20%","0.00%","-",""
"Horiz. %","105.20%","105.20%","105.73%","104.94%","104.20%","100.00%","-",""
"Date","AQR","T4Q","31/12/18","29/12/17","30/12/16","31/12/15","-","-"
"Price","0.9250","0.9250","0.8050","1.0000","1.0700","0.9300","0.0000","-"
"P/RPS","5.69","5.91","5.68","7.25","8.15","26.10","0.00","-"
"YoY %","-3.72%","4.05%","-21.66%","-11.04%","-68.77%","0.00%","-",""
"Horiz. %","21.80%","22.64%","21.76%","27.78%","31.23%","100.00%","-",""
"P/EPS","15.39","12.76","11.59","14.28","13.30","36.53","0.00","-"
"YoY %","20.61%","10.09%","-18.84%","7.37%","-63.59%","0.00%","-",""
"Horiz. %","42.13%","34.93%","31.73%","39.09%","36.41%","100.00%","-",""
"EY","6.50","7.83","8.63","7.00","7.52","2.74","0.00","-"
"YoY %","-16.99%","-9.27%","23.29%","-6.91%","174.45%","0.00%","-",""
"Horiz. %","237.23%","285.77%","314.96%","255.47%","274.45%","100.00%","-",""
"DY","7.63","5.98","7.64","6.25","3.55","0.00","0.00","-"
"YoY %","27.59%","-21.73%","22.24%","76.06%","0.00%","0.00%","-",""
"Horiz. %","214.93%","168.45%","215.21%","176.06%","100.00%","-","-",""
"P/NAPS","0.87","0.87","0.75","0.94","1.01","0.92","0.00","-"
"YoY %","0.00%","16.00%","-20.21%","-6.93%","9.78%","0.00%","-",""
"Horiz. %","94.57%","94.57%","81.52%","102.17%","109.78%","100.00%","-",""
"Date","AQR","T4Q","20/02/19","21/02/18","15/02/17","26/02/16","-","-"
"Price","0.8900","0.8900","0.8000","0.9400","1.0400","0.9400","0.0000","-"
"P/RPS","5.48","5.69","5.65","6.81","7.92","26.38","0.00","-"
"YoY %","-3.69%","0.71%","-17.03%","-14.02%","-69.98%","0.00%","-",""
"Horiz. %","20.77%","21.57%","21.42%","25.82%","30.02%","100.00%","-",""
"P/EPS","14.80","12.28","11.51","13.43","12.93","36.92","0.00","-"
"YoY %","20.52%","6.69%","-14.30%","3.87%","-64.98%","0.00%","-",""
"Horiz. %","40.09%","33.26%","31.18%","36.38%","35.02%","100.00%","-",""
"EY","6.76","8.14","8.69","7.45","7.74","2.71","0.00","-"
"YoY %","-16.95%","-6.33%","16.64%","-3.75%","185.61%","0.00%","-",""
"Horiz. %","249.45%","300.37%","320.66%","274.91%","285.61%","100.00%","-",""
"DY","7.93","6.21","7.69","6.65","3.65","0.00","0.00","-"
"YoY %","27.70%","-19.25%","15.64%","82.19%","0.00%","0.00%","-",""
"Horiz. %","217.26%","170.14%","210.68%","182.19%","100.00%","-","-",""
"P/NAPS","0.84","0.84","0.75","0.88","0.99","0.93","0.00","-"
"YoY %","0.00%","12.00%","-14.77%","-11.11%","6.45%","0.00%","-",""
"Horiz. %","90.32%","90.32%","80.65%","94.62%","106.45%","100.00%","-",""

