F.Y.,Ann. Date,Quarter,#,Revenue,PBT,NP,NP to SH,Div,Net Worth,Div Payout %,NP Margin,ROE,NOSH,RPS,Adj. RPS,EPS,Adj. EPS,DPS,Adj. DPS,NAPS,Adj. NAPS,QoQ,YoY,EOQ Date,EOQ Price,EOQ P/RPS,EOQ P/EPS,EOQ P/NAPS,EOQ EY,EOQ DY,ANN Date,ANN Price,ANN P/RPS,ANN P/EPS,ANN P/NAPS,ANN EY,ANN DY
"31-Dec-2019","26-Aug-2019","30-Jun-2019","2","4,126","-1,320","-1,604","-1,604","-","53,058","- %","-38.88%","-3.02%","681,990","0.60","0.60","-0.24","-0.24","0.00","0.00","0.0778","0.08"," 8.24%"," 87.72%","28-Jun-2019","0.03","4.96","-12.76","0.39","-7.84%","0.00%","26-Aug-2019","0.035","5.79","-14.88","0.45","-6.72%","0.00%"
"31-Dec-2019","27-May-2019","31-Mar-2019","1","4,160","-1,440","-1,748","-1,748","-","54,559","- %","-42.02%","-3.20%","681,990","0.61","0.61","-0.24","-0.24","0.00","0.00","0.0800","0.08"," 85.48%"," 42.88%","29-Mar-2019","0.035","5.74","-13.66","0.44","-7.32%","0.00%","27-May-2019","0.03","4.92","-11.70","0.38","-8.54%","0.00%"
"31-Dec-2018","27-Feb-2019","31-Dec-2018","4","5,000","-12,193","-12,477","-12,038","-","50,264","- %","-249.54%","-23.95%","628,308","0.80","0.73","-1.92","-1.77","0.00","0.00","0.0800","0.07"," -2.38%"," -18.68%","31-Dec-2018","0.03","3.77","-1.57","0.38","-63.86%","0.00%","27-Feb-2019","0.035","4.40","-1.83","0.44","-54.74%","0.00%"
"31-Dec-2018","26-Nov-2018","30-Sep-2018","3","5,332","-11,578","-11,758","-11,758","-","48,812","- %","-220.53%","-24.09%","610,151","0.87","0.78","-1.93","-1.72","0.00","0.00","0.0800","0.07"," 9.95%"," -219.53%","28-Sep-2018","0.045","5.15","-2.34","0.56","-42.83%","0.00%","26-Nov-2018","0.04","4.58","-2.08","0.50","-48.18%","0.00%"
"31-Dec-2018","27-Aug-2018","30-Jun-2018","2","5,072","-12,792","-13,058","-13,058","-","67,342","- %","-257.45%","-19.39%","748,253","0.68","0.74","-1.74","-1.91","0.00","0.00","0.0900","0.10"," -326.73%"," -145.36%","29-Jun-2018","0.05","7.38","-2.87","0.56","-34.90%","0.00%","27-Aug-2018","0.05","7.38","-2.87","0.56","-34.90%","0.00%"
"31-Dec-2018","30-May-2018","31-Mar-2018","1","4,508","-3,060","-3,060","-3,060","-","47,128","- %","-67.88%","-6.49%","471,289","0.96","0.66","-0.64","-0.45","0.00","0.00","0.1000","0.07"," 69.83%"," 67.32%","30-Mar-2018","0.06","6.27","-9.24","0.60","-10.82%","0.00%","30-May-2018","0.05","5.23","-7.70","0.50","-12.99%","0.00%"
"31-Dec-2017","28-Feb-2018","31-Dec-2017","4","8,951","-10,542","-10,478","-10,143","-","73,348","- %","-117.06%","-13.83%","814,988","1.10","1.31","-1.24","-1.49","0.00","0.00","0.0900","0.11"," -175.63%"," -433.84%","29-Dec-2017","0.135","12.29","-10.85","1.50","-9.22%","0.00%","28-Feb-2018","0.08","7.28","-6.43","0.89","-15.56%","0.00%"
"31-Dec-2017","22-Nov-2017","30-Sep-2017","3","10,065","-4,089","-4,089","-3,680","-","26,079","- %","-40.63%","-14.11%","869,321","1.16","1.48","-0.43","-0.54","0.00","0.00","0.0300","0.04"," 30.85%"," -6.60%","29-Sep-2017","0.05","4.32","-11.81","1.67","-8.47%","0.00%","22-Nov-2017","0.045","3.89","-10.63","1.50","-9.41%","0.00%"
"31-Dec-2017","25-Aug-2017","30-Jun-2017","2","10,070","-5,862","-5,862","-5,322","-","26,079","- %","-58.21%","-20.41%","869,321","1.16","1.48","-0.62","-0.78","0.00","0.00","0.0300","0.04"," 43.17%"," -0.74%","30-Jun-2017","0.05","4.32","-8.17","1.67","-12.24%","0.00%","25-Aug-2017","0.045","3.88","-7.35","1.50","-13.60%","0.00%"
"31-Dec-2017","24-May-2017","31-Mar-2017","1","10,280","-10,444","-10,444","-9,364","-","26,079","- %","-101.60%","-35.91%","869,321","1.18","1.51","-1.08","-1.37","0.00","0.00","0.0300","0.04"," -392.84%"," -538.39%","31-Mar-2017","0.07","5.92","-6.50","2.33","-15.39%","0.00%","24-May-2017","0.06","5.07","-5.57","2.00","-17.95%","0.00%"
"31-Dec-2016","28-Feb-2017","31-Dec-2016","4","92,611","-1,504","-1,987","-1,900","-","26,079","- %","-2.15%","-7.29%","869,321","10.65","13.58","-0.22","-0.28","0.00","0.00","0.0300","0.04"," 44.96%"," -239.29%","30-Dec-2016","0.07","0.66","-32.03","2.33","-3.12%","0.00%","28-Feb-2017","0.065","0.61","-29.74","2.17","-3.36%","0.00%"
"31-Dec-2016","25-Nov-2016","30-Sep-2016","3","101,109","-3,318","-2,956","-3,452","-","26,079","- %","-2.92%","-13.24%","869,321","11.63","14.83","-0.40","-0.51","0.00","0.00","0.0300","0.04"," 34.66%"," 18.58%","30-Sep-2016","0.075","0.64","-18.89","2.50","-5.29%","0.00%","25-Nov-2016","0.06","0.52","-15.11","2.00","-6.62%","0.00%"
"30-Jun-2016","30-Aug-2016","30-Jun-2016","2","54,935","-5,255","-4,898","-5,283","-","26,059","- %","-8.92%","-20.27%","868,666","6.32","8.06","-0.61","-0.77","0.00","0.00","0.0300","0.04"," -347.33%"," 91.20%","30-Jun-2016","0.06","0.95","-9.87","2.00","-10.14%","0.00%","30-Aug-2016","0.075","1.19","-12.33","2.50","-8.11%","0.00%"
