Column1,AQR,T4Q,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,31/12/11,31/12/10,31/12/09,31/12/08,CAGR
"Revenue","2,844","5,466","9,063","9,894","27,726","18,749","5,141","5,699","22,861","55,616","42,469","75,026","-20.92%"
"YoY %","-47.97%","-39.69%","-8.40%","-64.32%","47.88%","264.70%","-9.79%","-75.07%","-58.89%","30.96%","-43.39%","-",""
"Horiz. %","3.79%","7.29%","12.08%","13.19%","36.96%","24.99%","6.85%","7.60%","30.47%","74.13%","56.61%","100.00%",""
"PBT","-1,844","-856","3","-869","-1,425","245","-1,039","-8,456","-50,341","-56,798","-17,880","10,776","-59.71%"
"YoY %","-115.42%","-28,633.33%","100.35%","39.02%","-681.63%","123.58%","87.71%","83.20%","11.37%","-217.66%","-265.92%","-",""
"Horiz. %","-17.11%","-7.94%","0.03%","-8.06%","-13.22%","2.27%","-9.64%","-78.47%","-467.16%","-527.08%","-165.92%","100.00%",""
"Tax","0","20","0","0","0","0","0","0","0","0","0","-2,517","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-0.00%","-0.79%","-0.00%","-0.00%","-0.00%","-0.00%","-0.00%","-0.00%","-0.00%","-0.00%","-0.00%","100.00%",""
"NP","-1,844","-836","3","-869","-1,425","245","-1,039","-8,456","-50,341","-56,798","-17,880","8,259","-58.50%"
"YoY %","-120.57%","-27,966.67%","100.35%","39.02%","-681.63%","123.58%","87.71%","83.20%","11.37%","-217.66%","-316.49%","-",""
"Horiz. %","-22.33%","-10.12%","0.04%","-10.52%","-17.25%","2.97%","-12.58%","-102.39%","-609.53%","-687.71%","-216.49%","100.00%",""
"NP to SH","-1,844","-856","3","-869","-1,425","245","-1,039","-8,456","-50,341","-56,798","-17,880","8,259","-58.50%"
"YoY %","-115.42%","-28,633.33%","100.35%","39.02%","-681.63%","123.58%","87.71%","83.20%","11.37%","-217.66%","-316.49%","-",""
"Horiz. %","-22.33%","-10.36%","0.04%","-10.52%","-17.25%","2.97%","-12.58%","-102.39%","-609.53%","-687.71%","-216.49%","100.00%",""
"Tax Rate","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","23.36    %","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","100.00%",""
"Total Cost","4,688","6,302","9,060","10,763","29,151","18,504","6,180","14,155","73,202","112,414","60,349","66,767","-19.89%"
"YoY %","-25.61%","-30.44%","-15.82%","-63.08%","57.54%","199.42%","-56.34%","-80.66%","-34.88%","86.27%","-9.61%","-",""
"Horiz. %","7.02%","9.44%","13.57%","16.12%","43.66%","27.71%","9.26%","21.20%","109.64%","168.37%","90.39%","100.00%",""
"Net Worth","44,862","44,862","44,862","44,199","47,499","48,999","46,710","48,538","43,347","82,033","147,094","165,627","-13.50%"
"YoY %","0.00%","0.00%","1.50%","-6.95%","-3.06%","4.90%","-3.77%","11.98%","-47.16%","-44.23%","-11.19%","-",""
"Horiz. %","27.09%","27.09%","27.09%","26.69%","28.68%","29.58%","28.20%","29.31%","26.17%","49.53%","88.81%","100.00%",""
"Div","-","0","-","-","-","-","-","-","-","-","-","-","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-","-","-","-","-",""
"Div Payout %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-","-","-","-","-",""
"Net Worth","44,862","44,862","44,862","44,199","47,499","48,999","46,710","48,538","43,347","82,033","147,094","165,627","-13.50%"
"YoY %","0.00%","0.00%","1.50%","-6.95%","-3.06%","4.90%","-3.77%","11.98%","-47.16%","-44.23%","-11.19%","-",""
"Horiz. %","27.09%","27.09%","27.09%","26.69%","28.68%","29.58%","28.20%","29.31%","26.17%","49.53%","88.81%","100.00%",""
"NOSH","263,899","263,899","263,899","259,999","263,888","272,222","259,499","255,468","154,812","154,781","154,835","154,792","6.10%"
"YoY %","0.00%","0.00%","1.50%","-1.47%","-3.06%","4.90%","1.58%","65.02%","0.02%","-0.04%","0.03%","-",""
"Horiz. %","170.49%","170.49%","170.49%","167.97%","170.48%","175.86%","167.64%","165.04%","100.01%","99.99%","100.03%","100.00%",""
"NP Margin","-64.84    %","-15.29    %","0.03    %","-8.78    %","-5.14    %","1.31    %","-20.21    %","-148.38    %","-220.20    %","-102.13    %","-42.10    %","11.01    %","-48.09%"
"YoY %","-324.07%","-51,066.66%","100.34%","-70.82%","-492.37%","106.48%","86.38%","32.62%","-115.61%","-142.59%","-482.38%","-",""
"Horiz. %","-588.92%","-138.87%","0.27%","-79.75%","-46.68%","11.90%","-183.56%","-1,347.68%","-2,000.00%","-927.61%","-382.38%","100.00%",""
"ROE","-4.11    %","-1.91    %","0.01    %","-1.97    %","-3.00    %","0.50    %","-2.22    %","-17.42    %","-116.13    %","-69.24    %","-12.16    %","4.99    %","-49.84%"
"YoY %","-115.18%","-19,200.00%","100.51%","34.33%","-700.00%","122.52%","87.26%","85.00%","-67.72%","-469.41%","-343.69%","-",""
"Horiz. %","-82.36%","-38.28%","0.20%","-39.48%","-60.12%","10.02%","-44.49%","-349.10%","-2,327.25%","-1,387.58%","-243.69%","100.00%",""
"RPS","1.08","2.07","3.43","3.81","10.51","6.89","1.98","2.23","14.77","35.93","27.43","48.47","-25.48%"
"YoY %","-47.83%","-39.65%","-9.97%","-63.75%","52.54%","247.98%","-11.21%","-84.90%","-58.89%","30.99%","-43.41%","-",""
"Horiz. %","2.23%","4.27%","7.08%","7.86%","21.68%","14.21%","4.09%","4.60%","30.47%","74.13%","56.59%","100.00%",""
"EPS","-0.70","-0.32","0.00","-0.33","-0.54","0.09","-0.39","-3.31","-30.94","-36.69","-11.55","5.34","-"
"YoY %","-118.75%","0.00%","0.00%","38.89%","-700.00%","123.08%","88.22%","89.30%","15.67%","-217.66%","-316.29%","-",""
"Horiz. %","-13.11%","-5.99%","0.00%","-6.18%","-10.11%","1.69%","-7.30%","-61.99%","-579.40%","-687.08%","-216.29%","100.00%",""
"DPS","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-","-","-","-","-",""
"NAPS","0.1700","0.1700","0.1700","0.1700","0.1800","0.1800","0.1800","0.1900","0.2800","0.5300","0.9500","1.0700","-18.48%"
"YoY %","0.00%","0.00%","0.00%","-5.56%","0.00%","0.00%","-5.26%","-32.14%","-47.17%","-44.21%","-11.21%","-",""
"Horiz. %","15.89%","15.89%","15.89%","15.89%","16.82%","16.82%","16.82%","17.76%","26.17%","49.53%","88.79%","100.00%",""
"RPS","1.08","2.07","3.43","3.75","10.51","7.10","1.95","2.16","8.66","21.07","16.09","28.43","-20.93%"
"YoY %","-47.83%","-39.65%","-8.53%","-64.32%","48.03%","264.10%","-9.72%","-75.06%","-58.90%","30.95%","-43.40%","-",""
"Horiz. %","3.80%","7.28%","12.06%","13.19%","36.97%","24.97%","6.86%","7.60%","30.46%","74.11%","56.60%","100.00%",""
"EPS","-0.70","-0.32","0.00","-0.33","-0.54","0.09","-0.39","-3.20","-19.08","-21.52","-6.78","3.13","-"
"YoY %","-118.75%","0.00%","0.00%","38.89%","-700.00%","123.08%","87.81%","83.23%","11.34%","-217.40%","-316.61%","-",""
"Horiz. %","-22.36%","-10.22%","0.00%","-10.54%","-17.25%","2.88%","-12.46%","-102.24%","-609.58%","-687.54%","-216.61%","100.00%",""
"DPS","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-",""
"Horiz. %","-","-","-","-","-","-","-","-","-","-","-","-",""
"NAPS","0.1700","0.1700","0.1700","0.1675","0.1800","0.1857","0.1770","0.1839","0.1643","0.3109","0.5574","0.6276","-13.50%"
"YoY %","0.00%","0.00%","1.49%","-6.94%","-3.07%","4.92%","-3.75%","11.93%","-47.15%","-44.22%","-11.19%","-",""
"Horiz. %","27.09%","27.09%","27.09%","26.69%","28.68%","29.59%","28.20%","29.30%","26.18%","49.54%","88.81%","100.00%",""
"Date","AQR","T4Q","29/12/17","30/12/16","31/12/15","31/12/14","31/12/13","31/12/12","30/12/11","30/12/10","31/12/09","31/12/08","-"
"Price","0.1000","0.1000","0.1300","0.0900","0.1200","0.1200","0.1300","0.1200","0.1500","0.1900","0.3300","0.3400","-"
"P/RPS","9.28","4.83","3.79","2.37","1.14","1.74","6.56","5.38","1.02","0.53","1.20","0.70","20.63%"
"YoY %","92.13%","27.44%","59.92%","107.89%","-34.48%","-73.48%","21.93%","427.45%","92.45%","-55.83%","71.43%","-",""
"Horiz. %","1,325.71%","690.00%","541.43%","338.57%","162.86%","248.57%","937.14%","768.57%","145.71%","75.71%","171.43%","100.00%",""
"P/EPS","-14.31","-30.83","11,435.66","-26.93","-22.22","133.33","-32.47","-3.63","-0.46","-0.52","-2.86","6.37","129.80%"
"YoY %","53.58%","-100.27%","42,564.39%","-21.20%","-116.67%","510.63%","-794.49%","-689.13%","11.54%","81.82%","-144.90%","-",""
"Horiz. %","-224.65%","-483.99%","179,523.70%","-422.76%","-348.82%","2,093.09%","-509.73%","-56.99%","-7.22%","-8.16%","-44.90%","100.00%",""
"EY","-6.99","-3.24","0.01","-3.71","-4.50","0.75","-3.08","-27.58","-216.78","-193.14","-34.99","15.69","-55.83%"
"YoY %","-115.74%","-32,500.00%","100.27%","17.56%","-700.00%","124.35%","88.83%","87.28%","-12.24%","-451.99%","-323.01%","-",""
"Horiz. %","-44.55%","-20.65%","0.06%","-23.65%","-28.68%","4.78%","-19.63%","-175.78%","-1,381.64%","-1,230.98%","-223.01%","100.00%",""
"DY","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-"
