F.Y.,Ann. Date,Quarter,#,Revenue,PBT,NP,NP to SH,Div,Net Worth,Div Payout %,NP Margin,ROE,NOSH,RPS,Adj. RPS,EPS,Adj. EPS,DPS,Adj. DPS,NAPS,Adj. NAPS,QoQ,YoY,EOQ Date,EOQ Price,EOQ P/RPS,EOQ P/EPS,EOQ P/NAPS,EOQ EY,EOQ DY,ANN Date,ANN Price,ANN P/RPS,ANN P/EPS,ANN P/NAPS,ANN EY,ANN DY
"31-Dec-2019","01-Aug-2019","30-Jun-2019","2","23,707","13,688","13,688","13,688","-","59,236","- %","57.74%","23.11%","131,636","18.01","10.12","10.40","5.84","0.00","0.00","0.4500","0.25"," 169.66%"," 1,587.83%","28-Jun-2019","0.435","2.42","4.18","0.97","23.90%","0.00%","01-Aug-2019","0.47","2.61","4.52","1.04","22.12%","0.00%"
"31-Dec-2019","30-Apr-2019","31-Mar-2019","1","12,427","5,076","5,076","5,076","-","46,736","- %","40.85%","10.86%","111,277","11.17","5.30","4.56","2.17","0.00","0.00","0.4200","0.20"," 20.09%"," 882.13%","29-Mar-2019","0.36","3.22","7.89","0.86","12.67%","0.00%","30-Apr-2019","0.53","4.75","11.62","1.26","8.61%","0.00%"
"31-Dec-2018","26-Feb-2019","31-Dec-2018","4","15,257","4,248","4,227","4,227","-","23,523","- %","27.71%","17.97%","67,210","22.70","6.51","6.29","1.80","0.00","0.00","0.3500","0.10"," 675.89%"," 215.84%","31-Dec-2018","0.29","1.28","4.61","0.83","21.69%","0.00%","26-Feb-2019","0.35","1.54","5.57","1.00","17.97%","0.00%"
"31-Dec-2018","30-Nov-2018","30-Sep-2018","3","8,336","-734","-734","-734","-","18,146","- %","-8.81%","-4.04%","67,210","12.40","3.56","-1.09","-0.31","0.00","0.00","0.2700","0.08"," 20.22%"," 56.54%","28-Sep-2018","0.32","2.58","-29.30","1.19","-3.41%","0.00%","30-Nov-2018","0.37","2.98","-33.88","1.37","-2.95%","0.00%"
"31-Dec-2018","29-Aug-2018","30-Jun-2018","2","4,533","-920","-920","-920","-","1,710,800","- %","-20.30%","-0.05%","61,100","7.42","1.93","-1.51","-0.39","0.00","0.00","28.0000","7.30"," -41.76%"," -253.85%","29-Jun-2018","0.15","2.02","-9.96","0.01","-10.04%","0.00%","29-Aug-2018","0.315","4.25","-20.92","0.01","-4.78%","0.00%"
"31-Dec-2018","15-May-2018","31-Mar-2018","1","79","-649","-649","-649","-","17,215","- %","-821.52%","-3.77%","68,861","0.11","0.03","-0.94","-0.28","0.00","0.00","0.2500","0.07"," 82.21%"," -316.33%","30-Mar-2018","0.24","209.20","-25.46","0.96","-3.93%","0.00%","15-May-2018","0.18","156.90","-19.10","0.72","-5.24%","0.00%"
"31-Dec-2017","28-Feb-2018","31-Dec-2017","4","11,433","-3,651","-3,649","-3,649","-","17,718","- %","-31.92%","-20.59%","61,100","18.71","4.88","-5.97","-1.56","0.00","0.00","0.2900","0.08"," -116.05%"," 76.60%","29-Dec-2017","0.23","1.23","-3.85","0.79","-25.97%","0.00%","28-Feb-2018","0.215","1.15","-3.60","0.74","-27.78%","0.00%"
"31-Dec-2017","30-Nov-2017","30-Sep-2017","3","9,795","-1,689","-1,689","-1,689","-","20,163","- %","-17.24%","-8.38%","61,100","16.03","4.18","-2.76","-0.72","0.00","0.00","0.3300","0.09"," -549.62%"," -824.89%","29-Sep-2017","0.255","1.59","-9.22","0.77","-10.84%","0.00%","30-Nov-2017","0.24","1.50","-8.68","0.73","-11.52%","0.00%"
"31-Dec-2017","30-Aug-2017","30-Jun-2017","2","9,055","-260","-260","-260","-","21,384","- %","-2.87%","-1.22%","61,100","14.82","3.86","-0.43","-0.11","0.00","0.00","0.3500","0.09"," -186.67%"," 55.93%","30-Jun-2017","0.35","2.36","-82.25","1.00","-1.22%","0.00%","30-Aug-2017","0.23","1.55","-54.05","0.66","-1.85%","0.00%"
"31-Dec-2017","23-May-2017","31-Mar-2017","1","5,740","300","300","300","-","21,996","- %","5.23%","1.36%","61,100","9.39","2.45","0.49","0.13","0.00","0.00","0.3600","0.09"," 101.92%"," 138.66%","31-Mar-2017","0.42","4.47","85.54","1.17","1.17%","0.00%","23-May-2017","0.36","3.83","73.32","1.00","1.36%","0.00%"
"31-Dec-2016","28-Feb-2017","31-Dec-2016","4","35,036","-15,683","-15,593","-15,593","-","21,384","- %","-44.51%","-72.92%","61,100","57.34","14.95","-25.52","-6.65","0.00","0.00","0.3500","0.09"," -6,792.27%"," -1,765.19%","30-Dec-2016","0.405","0.71","-1.59","1.16","-63.01%","0.00%","28-Feb-2017","0.43","0.75","-1.68","1.23","-59.35%","0.00%"
"31-Dec-2016","30-Nov-2016","30-Sep-2016","3","25,194","233","233","233","-","37,271","- %","0.92%","0.63%","61,100","41.23","10.75","0.38","0.10","0.00","0.00","0.6100","0.16"," 139.49%"," 237.06%","30-Sep-2016","0.90","2.18","236.01","1.48","0.42%","0.00%","30-Nov-2016","0.91","2.21","238.63","1.49","0.42%","0.00%"
"31-Dec-2016","01-Sep-2016","30-Jun-2016","2","16,582","-590","-590","-590","-","36,660","- %","-3.56%","-1.61%","61,100","27.14","7.08","-0.97","-0.25","0.00","0.00","0.6000","0.16"," 23.97%"," -222.15%","30-Jun-2016","0.995","3.67","-103.04","1.66","-0.97%","0.00%","01-Sep-2016","1.00","3.68","-103.56","1.67","-0.97%","0.00%"
"31-Dec-2016","31-May-2016","31-Mar-2016","1","4,355","-776","-776","-776","-","36,660","- %","-17.82%","-2.12%","61,100","7.13","1.86","-1.27","-0.33","0.00","0.00","0.6000","0.16"," 7.18%"," -277.17%","31-Mar-2016","1.54","21.61","-121.26","2.57","-0.82%","0.00%","31-May-2016","0.87","12.21","-68.50","1.45","-1.46%","0.00%"
"31-Dec-2015","29-Feb-2016","31-Dec-2015","4","28,831","-636","-836","-836","-","37,271","- %","-2.90%","-2.24%","61,100","47.19","12.30","-1.37","-0.36","0.00","0.00","0.6100","0.16"," -391.76%"," 92.24%","31-Dec-2015","0.60","1.27","-43.85","0.98","-2.28%","0.00%","29-Feb-2016","1.24","2.63","-90.63","2.03","-1.10%","0.00%"
"31-Dec-2015","30-Nov-2015","30-Sep-2015","3","24,419","-20","-170","-170","-","37,882","- %","-0.70%","-0.45%","61,100","39.97","10.42","-0.28","-0.07","0.00","0.00","0.6200","0.16"," -135.20%"," 94.74%","30-Sep-2015","0.60","1.50","-215.65","0.97","-0.46%","0.00%","30-Nov-2015","0.62","1.55","-222.84","1.00","-0.45%","0.00%"
"31-Dec-2015","28-Aug-2015","30-Jun-2015","2","19,353","583","483","483","-","38,492","- %","2.50%","1.25%","61,100","31.67","8.26","0.79","0.21","0.00","0.00","0.6300","0.16"," 10.27%"," 126.04%","30-Jun-2015","0.57","1.80","72.11","0.90","1.39%","0.00%","28-Aug-2015","0.57","1.80","72.11","0.90","1.39%","0.00%"
"31-Dec-2015","29-May-2015","31-Mar-2015","1","13,235","488","438","438","-","38,492","- %","3.31%","1.14%","61,100","21.66","5.65","0.72","0.19","0.00","0.00","0.6300","0.16"," 104.06%"," 125.70%","31-Mar-2015","0.55","2.54","76.72","0.87","1.30%","0.00%","29-May-2015","0.60","2.77","83.70","0.95","1.19%","0.00%"
"31-Dec-2014","27-Feb-2015","31-Dec-2014","4","27,612","-14,712","-10,780","-10,780","-","37,882","- %","-39.04%","-28.46%","61,100","45.19","11.78","-17.64","-4.60","0.00","0.00","0.6200","0.16"," -233.75%"," -1,100.45%","31-Dec-2014","0.54","1.19","-3.06","0.87","-32.67%","0.00%","27-Feb-2015","0.55","1.22","-3.12","0.89","-32.08%","0.00%"
"31-Dec-2014","28-Nov-2014","30-Sep-2014","3","22,051","-3,080","-3,230","-3,230","-","45,214","- %","-14.65%","-7.14%","61,100","36.09","9.41","-5.29","-1.38","0.00","0.00","0.7400","0.19"," -74.12%"," -3.13%","30-Sep-2014","0.615","1.70","-11.63","0.83","-8.60%","0.00%","28-Nov-2014","0.57","1.58","-10.78","0.77","-9.27%","0.00%"
"31-Dec-2014","29-Aug-2014","30-Jun-2014","2","16,106","-1,755","-1,855","-1,855","-","47,046","- %","-11.52%","-3.94%","61,100","26.36","6.87","-3.04","-0.79","0.00","0.00","0.7700","0.20"," -8.86%"," -37.82%","30-Jun-2014","0.63","2.39","-20.75","0.82","-4.82%","0.00%","29-Aug-2014","0.595","2.26","-19.60","0.77","-5.10%","0.00%"
"31-Dec-2014","30-May-2014","31-Mar-2014","1","8,093","-1,623","-1,654","-1,704","-","47,046","- %","-20.44%","-3.62%","61,100","13.25","3.45","-2.79","-0.73","0.00","0.00","0.7700","0.20"," -89.76%"," -42.95%","31-Mar-2014","0.62","4.68","-22.23","0.81","-4.50%","0.00%","30-May-2014","0.605","4.57","-21.69","0.79","-4.61%","0.00%"
"31-Dec-2013","28-Feb-2014","31-Dec-2013","4","58,191","-3,257","-898","-898","-","48,870","- %","-1.54%","-1.84%","61,088","95.26","24.83","-1.47","-0.38","0.00","0.00","0.8000","0.21"," 71.33%"," 96.27%","31-Dec-2013","0.64","0.67","-43.54","0.80","-2.30%","0.00%","28-Feb-2014","0.605","0.64","-41.16","0.76","-2.43%","0.00%"
"31-Dec-2013","29-Nov-2013","30-Sep-2013","3","45,256","-2,982","-3,132","-3,132","-","46,435","- %","-6.92%","-6.74%","61,100","74.07","19.31","-5.13","-1.34","0.00","0.00","0.7600","0.20"," -132.69%"," -10.55%","30-Sep-2013","0.60","0.81","-11.70","0.79","-8.54%","0.00%","29-Nov-2013","0.61","0.82","-11.90","0.80","-8.40%","0.00%"
"31-Dec-2013","07-Oct-2013","30-Jun-2013","2","33,790","-1,246","-1,346","-1,346","-","48,269","- %","-3.98%","-2.79%","61,100","55.30","14.42","-2.20","-0.57","0.00","0.00","0.7900","0.21"," -12.92%"," 54.70%","28-Jun-2013","0.58","1.05","-26.33","0.73","-3.80%","0.00%","07-Oct-2013","0.60","1.08","-27.24","0.76","-3.67%","0.00%"
"31-Dec-2013","31-May-2013","31-Mar-2013","1","18,310","-1,142","-1,192","-1,192","-","48,291","- %","-6.51%","-2.47%","61,100","29.95","7.81","-1.95","-0.51","0.00","0.00","0.7900","0.21"," 95.05%"," 38.17%","29-Mar-2013","0.555","1.85","-28.46","0.70","-3.51%","0.00%","31-May-2013","0.58","1.94","-29.74","0.73","-3.36%","0.00%"
"31-Dec-2012","28-Feb-2013","31-Dec-2012","4","61,852","-19,040","-24,060","-24,060","-","47,655","- %","-38.90%","-50.49%","61,097","101.24","26.39","-39.38","-10.27","0.00","0.00","0.7800","0.20"," -749.28%"," -276.29%","31-Dec-2012","0.58","0.57","-1.47","0.74","-67.90%","0.00%","28-Feb-2013","0.54","0.53","-1.37","0.69","-72.93%","0.00%"
"31-Dec-2012","30-Nov-2012","30-Sep-2012","3","54,175","-2,683","-2,833","-2,833","-","69,042","- %","-5.23%","-4.10%","61,100","88.67","23.12","-4.64","-1.21","0.00","0.00","1.1300","0.29"," 4.64%"," -19.18%","28-Sep-2012","0.58","0.65","-12.51","0.51","-7.99%","0.00%","30-Nov-2012","0.60","0.68","-12.94","0.53","-7.73%","0.00%"
"31-Dec-2012","30-Aug-2012","30-Jun-2012","2","29,800","-2,871","-2,971","-2,971","-","69,042","- %","-9.97%","-4.30%","61,100","48.77","12.72","-4.86","-1.27","0.00","0.00","1.1300","0.29"," -54.10%"," -53.54%","29-Jun-2012","0.58","1.19","-11.93","0.51","-8.38%","0.00%","30-Aug-2012","0.60","1.23","-12.34","0.53","-8.10%","0.00%"
"31-Dec-2012","31-May-2012","31-Mar-2012","1","15,327","-1,878","-1,928","-1,928","-","70,264","- %","-12.58%","-2.74%","61,100","25.09","6.54","-3.39","-0.82","0.00","0.00","1.1500","0.30"," 69.85%"," -140.70%","30-Mar-2012","0.60","2.39","-19.01","0.52","-5.26%","0.00%","31-May-2012","0.59","2.35","-18.70","0.51","-5.35%","0.00%"
"31-Dec-2011","29-Feb-2012","31-Dec-2011","4","61,944","-7,734","-6,394","-6,394","-","72,131","- %","-10.32%","-8.86%","61,128","101.33","26.43","-10.46","-2.73","0.00","0.00","1.1800","0.31"," -168.99%"," 36.86%","30-Dec-2011","0.60","0.59","-5.74","0.51","-17.43%","0.00%","29-Feb-2012","0.60","0.59","-5.74","0.51","-17.43%","0.00%"
"31-Dec-2011","30-Nov-2011","30-Sep-2011","3","48,805","-2,227","-2,377","-2,377","-","75,770","- %","-4.87%","-3.14%","61,105","79.87","20.83","-3.89","-1.01","0.00","0.00","1.2400","0.32"," -22.84%"," 52.62%","30-Sep-2011","0.58","0.73","-14.91","0.47","-6.71%","0.00%","30-Nov-2011","0.60","0.75","-15.42","0.48","-6.48%","0.00%"
"31-Dec-2011","26-Aug-2011","30-Jun-2011","2","30,582","-1,835","-1,935","-1,935","-","76,301","- %","-6.33%","-2.54%","61,041","50.10","13.05","-3.17","-0.83","0.00","0.00","1.2500","0.33"," -141.57%"," 24.35%","30-Jun-2011","0.72","1.44","-22.71","0.58","-4.40%","0.00%","26-Aug-2011","0.68","1.36","-21.45","0.54","-4.66%","0.00%"
